sold_price,address,bedNum,bathNum,sqarefootage,soldOn,List Date,Sold Date,Type,Style,Area,Municipality,Community,List Price,Bedrooms,Bathrooms,Kitchens,Rooms,Parking Total,Municipality District,Groceries #1 name,Groceries #2 name,Groceries #3 name,Liquor Store #1 name,Liquor Store #2 name,Liquor Store #3 name,Restaurants #1 name,Restaurants #2 name,Restaurants #3 name,Coffee #1 name,Coffee #2 name,Coffee #3 name,Bank #1 name,Bank #2 name,Bank #3 name,Gas Station #1 name,Gas Station #2 name,Gas Station #3 name,Park #1 name,Park #2 name,Park #3 name,Library #1 name,Library #2 name,Library #3 name,Medical Care #1 name,Medical Care #2 name,Medical Care #3 name,Pharmacy #1 name,Pharmacy #2 name,Pharmacy #3 name,Mall #1 name,Mall #2 name,Mall #3 name,Movie Theatre #1 name,Movie Theatre #2 name,Movie Theatre #3 name,Bar #1 name,Bar #2 name,Bar #3 name,Groceries #1 address,Groceries #2 address,Groceries #3 address,Groceries #1 distance,Groceries #2 distance,Groceries #3 distance,Liquor Store #1 address,Liquor Store #2 address,Liquor Store #3 address,Liquor Store #1 distance,Liquor Store #2 distance,Liquor Store #3 distance,Restaurants #1 address,Restaurants #2 address,Restaurants #3 address,Restaurants #1 distance,Restaurants #2 distance,Restaurants #3 distance,Coffee #1 address,Coffee #2 address,Coffee #3 address,Coffee #1 distance,Coffee #2 distance,Coffee #3 distance,Bank #1 address,Bank #2 address,Bank #3 address,Bank #1 distance,Bank #2 distance,Bank #3 distance,Gas Station #1 address,Gas Station #2 address,Gas Station #3 address,Gas Station #1 distance,Gas Station #2 distance,Gas Station #3 distance,Park #1 address,Park #2 address,Park #3 address,Park #1 distance,Park #2 distance,Park #3 distance,Library #1 address,Library #2 address,Library #3 address,Library #1 distance,Library #2 distance,Library #3 distance,Medical Care #1 address,Medical Care #2 address,Medical Care #3 address,Medical Care #1 distance,Medical Care #2 distance,Medical Care #3 distance,Pharmacy #1 address,Pharmacy #2 address,Pharmacy #3 address,Pharmacy #1 distance,Pharmacy #2 distance,Pharmacy #3 distance,Mall #1 address,Mall #2 address,Mall #3 address,Mall #1 distance,Mall #2 distance,Mall #3 distance,Movie Theatre #1 address,Movie Theatre #2 address,Movie Theatre #3 address,Movie Theatre #1 distance,Movie Theatre #2 distance,Movie Theatre #3 distance,Bar #1 address,Bar #2 address,Bar #3 address,Bar #1 distance,Bar #2 distance,Bar #3 distance,longitude,latitude,pageNum,iterationNum,weblink
"2,777,000",77 Invermay Avenue,4+1,6,n/a,"Nov 28, 2021",2020-11-25 00:00:00.0,2021-11-28 00:00:00.0,Detached,2-Storey,Toronto,Toronto,Clanton Park,2799900.00,4,6,1,10,6.0,Toronto C06,Pat's No Frills,No Frills,Williams-Sonoma,Wine Kitz,The Beer Store,LCBO,King High Restaurant,KOKAME,Bagel World,Starbucks Coffee,Second Cup Coffee Co.,Second Cup,CIBC,CIBC Branch,CIBC Branch (CASH AT ATM ONLY),Bathurst And Wilson ESSO,Petro-Canada,SHELL - Shell Sheppard Ave West,Clanton Park,Earl Bales Park,Toronto Cricket Skating and Curling Club,Armour Heights Library,Toronto Public Library,Toronto Public Library - Armour Heights Library,Gamma-Dynacare Medical Laboratories,Jesin Aaron Physician & Mohel,The Jesin Circumcision Clinic,York Downs Pharmacy,Medicine Shoppe Pharmacy The,The Medicine Shoppe Pharmacy,Yorkdale Shopping Centre Management Office,Yorkdale,Yorkdale Shopping Centre,Cineplex Cinemas Yorkdale,Cineplex,SilverCity Yorkdale Cinemas,PAESE Ristorante,Timezone Bar Disco-Restaurant,Milestones Grill and Bar,270 Wilson Avenue ,270 Wilson Ave ,3401 Dufferin Street  ,0.72,0.72,1.63,429 Wilson Avenue ,322 Wilson Avenue ,1838 Avenue Road ,0.45,0.52,2.03,424 Wilson Avenue ,362 Wilson Avenue ,336 Wilson Avenue ,0.46,0.46,0.46,274 Wilson Ave ,693 Wilson Avenue ,693 Wilson Avenue ,0.64,1.37,1.38,418 Wilson ,418 Wilson Avenue ,418 Wilson Avenue ,0.43,0.43,0.43,3750 Bathurst ,901 Sheppard Avenue West ,908 Sheppard Ave W ,0.68,1.77,1.8,10 Palm Drive ,4169 Bathurst Street ,141 Wilson Avenue ,0.68,1.57,1.91,2140 Rd Ave ,2140 Rd Ave ,2140 Avenue Road ,1.6,1.6,1.61,4256 Bathurst Street ,4256 Bathur St ,4256 Bathur St ,1.3,1.3,1.3,3910 Bathur St ,4256 Bathurst Street ,4256 Bathurst Street ,0.76,1.3,1.31,1 Yorkdale Road  ,3401 Dufferin Street ,3401 Dufferin St ,1.73,1.8,1.8,3401 Dufferin Street ,3401 Dufferin Street ,3401 Dufferin St ,1.59,1.59,1.64,3827 Bathurst Street ,3426 Bathurst Street ,3401 Dufferin Street ,0.61,1.62,1.77,-79.441883,43.739954,1,20,https://www.zolo.ca/toronto-real-estate/77-invermay-avenue
"2,691,000",69 Boardwalk Drive,3+1,3,n/a,"Apr 14, 2021",2021-04-14 00:00:00.0,2021-04-14 00:00:00.0,Detached,3-Storey,Toronto,Toronto,The Beaches,2279000.00,3,3,1,9,2.0,Toronto E02,Foodland - Toronto,Rocca's No Frills,The Wholesome Market,Wine Rack,Beer Store The,Beer Store,Boardwalk Place,Boardwalk Pub,Sauvignon Bistro,Tim Hortons,Juice & Java Cafe and Catering,Juice & Java Catering Inc,CIBC Branch (Cash at ATM only),CIBC Branch & ATM,CIBC Branch with ATM,Lake Shore & Carlaw Esso,Transfer Stations,Leslieville Pumps,Kew Gardens,Beaches Park,Leslie Street Allotment Gardens,Beaches Library,Toronto Public Library - Beaches Branch,Gerrard/Ashdale Library,Appletree Medical Group,Appletree Medical Centre | Queen St. Clinic,Appletree Medical Centre,Loblaws - Leslie Street,Loblaws,Beach valu-mart,Helical Piles East York,Shoppers World,Gerrard Square,Alliance Cinemas - The Beach,Fox Theatre,Poetic Stone Weddings,Boardwalk Place,Boardwalk Pub,The Gull and Firkin,2040 Queen Street East ,269 Coxwell Avenue ,2234 Queen Street East ,0.96,1.39,1.8,17 Leslie Street  ,HenleyHenley Gardens ,380 Donlands Avenue ,1.78,2.61,4.39,1681 Lake Shore Boulevard East ,1681 Lak Shor Blvd E ,1862 Queen Street East ,0.27,0.34,0.42,2183 Queen Street East ,2102 Qun St E ,2102 Queen Street East ,0.96,1.14,1.15,915 Kingston Road ,915 Kingston Road ,915 Kingston Road ,2.22,2.22,2.22,829 Lake Shore Boulevard East ,400 Commissioners St ,929 Queen Street East ,2.72,2.89,2.76,2075 Queen Street East ,77 Kew Beach Avenue ,9 Leslie Street ,0.8,0.88,1.82,2161 Queen Street East ,2161 Queen Street East ,1432 Gerrard Street East ,0.9,0.9,1.49,1971 Queen Street East ,1971 Queen Street East ,1971 Queen Street East ,0.7,0.7,0.71,17 Leslie Street ,17 Leslie St ,2266 Queen Street East ,1.76,1.78,1.94,3003 Danforth Avenue  ,3003 Danforth Avenue ,1000 Gerrard Street East ,2.88,3.08,2.62,1651 Queen Street East ,2236 Queen Street East ,416 Pharmacy Avenue ,0.64,1.82,4.54,1681 Lake Shore Boulevard East ,1681 Lak Shor Blvd E ,1943 Queen Street East ,0.27,0.34,0.61,-79.308434,43.66466,1,23,https://www.zolo.ca/toronto-real-estate/69-boardwalk-drive
"2,000,000",60 Leuty Avenue,3+1,4,n/a,"Apr 14, 2021",2021-04-13 00:00:00.0,2021-04-14 00:00:00.0,Semi-Detached,2 1/2 Storey,Toronto,Toronto,The Beaches,1699000.00,3,4,1,8,1.0,Toronto E02,Foodland - Toronto,The Wholesome Market,Beach valu-mart,Beer Store The,Beer Store,The Beer Store,Thai House Cuisine,Gabby's Restaurant Group,Richard's,Juice & Java Cafe and Catering,Juice & Java Catering Inc,Tori's Bakeshop,CIBC Branch with ATM,CIBC Branch (Cash at ATM only),CIBC Branch & ATM,Danforth Gas & Wash,Shell,Lake Shore & Carlaw Esso,Kew Gardens,Beaches Park,Blantyre Park,Toronto Public Library - Beaches Branch,Beaches Library,"Toronto Public Library, Main Street Branch",Appletree Medical Centre,Appletree Medical Group,Appletree Medical Centre | Queen St. Clinic,Dyson's valu-mart,Beach valu-mart,Loblaws - Leslie Street,Helical Piles East York,Shoppers World,Gerrard Square,Fox Theatre,Alliance Cinemas - The Beach,Poetic Stone Weddings,Gabby's Restaurant Group,Castro's Lounge,Il Fornello,2040 Queen Street East ,2234 Queen Street East ,2266 Queen Street East ,0.23,0.8,0.94,HenleyHenley Gardens ,3130 Danforth Avenue ,1270 Woodbine Avenue ,1.65,2.68,3.2,2213 Queen Street East ,2076 Queen Street East ,2066 Queen Street East ,0.18,0.2,0.19,2102 Qun St E ,2102 Queen Street East ,2188 Queen Street East ,0.2,0.21,0.57,915 Kingston Road ,915 Kingston Road ,915 Kingston Road ,1.33,1.33,1.33,3561 Danforth Avenue ,521 OConnor Drive ,829 Lake Shore Boulevard East ,3.29,4.16,3.72,2075 Queen Street East ,77 Kew Beach Avenue ,180 Fallingbrook Rd ,0.21,0.32,1.99,2161 Queen Street East ,2161 Queen Street East ,137 Main Street ,0.22,0.22,1.62,1971 Queen Street East ,1971 Queen Street East ,1971 Queen Street East ,0.42,0.42,0.42,2266 Queen Street East ,2266 Queen Street East ,17 Leslie Street ,0.94,0.94,2.75,3003 Danforth Avenue  ,3003 Danforth Avenue ,1000 Gerrard Street East ,2.17,2.33,3.45,2236 Queen Street East ,1651 Queen Street East ,416 Pharmacy Avenue ,0.81,1.51,3.85,2076 Queen Street East ,2116 Queen Street East ,2022 Queen Street East ,0.2,0.24,0.25,-79.296212,43.669173,1,26,https://www.zolo.ca/toronto-real-estate/60-leuty-avenue
"1,950,000",115 Cambridge Avenue,3,3,2000-2500,"Apr 14, 2021",2021-04-13 00:00:00.0,2021-04-14 00:00:00.0,Semi-Detached,3-Storey,Toronto,Toronto,Playter Estates-Danforth,1599000.00,3,3,1,7,2.0,Toronto E03,Loblaws,Loblaws - Broadview Ave,Sobeys,Beer Store,Amsterdam Brewery,LCBO,Globe Bistro,Mambo Lounge,Embrujo Flamenco Tapas Restaurant,Broadview Espresso,Si Espresso Bar,DAIRY QUEEN BRAZIER,BROADVIEW & DANFORTH,National Bank,PAPE & DANFORTH,Leslieville Pumps,Lake Shore & Carlaw Esso,Esso,Todmorden Mills Park,Don Valley Brick Works Park,Evergreen Brick Works,Gerstein Centre,Canadian Lesbian And Gay Archives,Toronto Reference Library,Pro-Art Dental Laboratory,Albany Medical Clinic,Danforth Bia,Shoppers Drug Mart,Marshall's Drug Store,Rexall Pharma Plus,Gerrard Square,Gerrard Square Shopping Centre,Hudson's Bay Shopping Centre,Imagine Cinemas Carlton Cinema,Panasonic Theatre,Cineplex Cinemas Varsity and VIP,Black Swan Comedy,Off The Hook Gourmet Co,Allen's,720 Broadview Avenue ,720 Broadview Ave ,1015 Broadview Ave ,0.41,0.43,0.65,380 Donlands Avenue ,45 Esandar Drive ,45 Overlea Boulevard ,2.14,3.06,3.21,124 Danforth Avenue ,120 Danforth Ave ,97 Danforth Avenue ,0.3,0.31,0.33,817 Broadview Avenue ,748 Broadview Av ,1040 Broadview Avenue ,0.14,0.38,0.6,739 Broadview Avenue ,629 Danforth Avenue ,650 Danforth Avenue ,0.4,1.11,1.14,929 Queen Street East ,829 Lake Shore Boulevard East ,381 Mount Pleasant Road ,2.53,3.24,3.07,67 Pottery Road ,550 Bayview Avenue  ,550 Bayview Avenue ,0.59,km,0.84,100 Charles Street East ,34 Isabella St ,789 Yonge St ,2.02,2.34,2.32,855 Broadview Avenue  ,807 Broadview Ave ,253 Danforth Avenue ,0.12,0.15,0.42,1012 Pape Avenue ,412 Summerhill Avenue ,325 Moore Avenue ,1.37,1.58,2.16,1000 Gerrard Street East ,1000 Gerrard Street East ,20 Bloor Street East ,1.96,1.97,2.32,20 Carlton Street ,651 Yonge Street ,55 Bloor Street West ,2.65,2.45,2.58,154 Danforth Avenue ,749 Broadview Avenue ,143 Danforth Avenue ,0.31,0.36,0.34,-79.359414,43.679087,1,29,https://www.zolo.ca/toronto-real-estate/115-cambridge-avenue
"1,450,000",95 Woodington Avenue,3,2,n/a,"Apr 14, 2021",2021-04-13 00:00:00.0,2021-04-14 00:00:00.0,Semi-Detached,2-Storey,Toronto,Toronto,Danforth,999000.00,3,2,1,6,2.0,Toronto E03,Wazema Ethiopian Restaurant,Moberly Natural Foods,Rocca's No Frills,Beer Store,The Beer Store,Wine Rack,McDonald's,Bus Terminal,Sunset Grill,McDonald's,Last Drop Cafe,Sarah's Café & Bar,CIBC Branch & ATM,Scotiabank,WOODBINE & DANFORTH,Shell,Leslieville Pumps,Lake Shore & Carlaw Esso,Monarch Park,Taylor Creek Park,Kempton Howard Park,Danforth/Coxwell Library,Toronto Public Library - Danforth/Coxwell Library,Toronto Public Library - Danforth/Coxwell Branch,Michael Garron Hospital,CML HealthCare Laboratory Services,Toronto East General Hospital,Toronto East Pharmasave,Shoppers Drug Mart,Loblaws - Leslie Street,Gerrard Square,Gerrard Square Shopping Centre,Helical Piles East York,Alliance Cinemas - The Beach,Fox Theatre,Poetic Stone Weddings,Sunset Grill,Groove Bar & Grill,The Bartending School of Ontario,1360 Danforth Avenue ,2044 Danforth Ave ,269 Coxwell Avenue ,0.74,0.66,1.51,380 Donlands Avenue ,380 Donlands Avenue ,17 Leslie Street  ,1.89,1.89,2.96,1735 Danforth Avenue ,1606 Danforth Avenue ,1602 Danforth Ave ,0.37,0.4,0.4,1735 Danforth Avenue ,549 Sammon Ave ,1426 Danforth Ave ,0.37,0.36,0.63,1586 Danforth Avenue ,2072 Danforth Avenue ,2076 Danforth Avenue ,0.42,0.72,0.74,521 OConnor Drive ,929 Queen Street East ,829 Lake Shore Boulevard East ,1.32,3.3,3.84,115 Felstead Avenue ,260 Dawes Road ,150 Blake St ,1.06,1.63,1.93,1675 Danforth Avenue ,1675 Danforth Avenue ,1675 Danforth Avenue ,0.38,0.39,0.39,825 Coxwell Avenue ,688 Coxwell Avenue  ,825 Coxwell Avenue ,0.38,0.49,0.43,825 Coxwell Avenue ,812 OConnor Drive ,17 Leslie Street ,0.43,2.31,2.95,1000 Gerrard Street East ,1000 Gerrard Street East ,3003 Danforth Avenue  ,2.4,2.43,2.35,1651 Queen Street East ,2236 Queen Street East ,416 Pharmacy Avenue ,2.36,3.21,3.27,1602 Danforth Ave ,1952 Danforth Avenue ,2159 Danforth Ave ,0.4,0.56,0.9,-79.321981,43.687126,1,32,https://www.zolo.ca/toronto-real-estate/95-woodington-avenue
"1,500,000",201 Palmerston Avenue,3,2,n/a,"Apr 14, 2021",2021-04-12 00:00:00.0,2021-04-14 00:00:00.0,Semi-Detached,2-Storey,Toronto,Toronto,Trinity-Bellwoods,999900.00,3,2,1,7,2.0,Toronto C01,Kensington Fruit Market,Loblaws,Metro,Wine Rack,Bellwoods Brewery,LCBO,Lisbon By Night,Campagnolo,Poor Alex,Manic Coffee,Ezras Pound,The Big Chill,CIBC Branch with ATM,RBC Royal Bank,BLOOR & DOVERCOURT,King St Esso,Esso,Shell,Healey Willan Park,Trinity Bellwoods Park,Victoria Memorial Park,Robarts Library,Thomas Fisher Rare Book Library,Innis College Library - University of Toronto,Toronto Western Hospital,Centre for Addiction and Mental Health,"THE MEDICAL PRACTICE , WALK-IN & FAMILY PRACTICE CLINIC",Toronto Western Hospital,Loblaws,Shoppers Drug Mart,Kensington Market,Chinatown Centre,Hazelton Lanes,Cineforum,The Royal,Bloor Hot Docs Cinema,Andy Poolhall,Sneaky Dee's,El Rancho,34 St Andrew Street ,585 Queen Street West ,735 College St ,0.69,0.89,0.86,746 King Street West ,124 Ossington Ave ,415 King Street West ,1.11,1.15,1.44,802 Dundas Street West ,832 Dundas Street West ,772 Dundas St W ,0.16,0.19,0.17,426 College Street ,913 Dundas Street West ,367 Manning Avenue ,0.41,0.41,0.41,532 Bloor Street West ,434-436 King Street West ,972 Bloor Street West ,1.36,1.43,1.87,952 King St W ,553 Lake Shore Boulevard West ,1077 Yonge Street ,1.28,2.04,3.24,504 Euclid Avenue ,790 Queen Street West ,10 Niagara Street ,0.75,0.72,1.37,130 George St ,120 Saint George Street ,2 Sussex Avenue ,1.44,1.44,1.56,399 Bathur St ,1001 Queen St W ,799 Bloor Street West rd floor ,0.23,1.34,1.46,399 Bathur St ,585 Queen Street West ,901 King Street West ,0.23,0.89,1.27,KensingtonKensington Ave ,222 Spadina Avenue ,55 Avenue Rd ,0.67,0.92,2.26,463 Bathurst Street ,608 College St ,506 Bloor Street West ,0.29,0.5,1.34,489 College Street ,431 College St ,430 College Street ,0.3,0.35,0.4,-79.408913,43.653212,1,35,https://www.zolo.ca/toronto-real-estate/201-palmerston-avenue
"1,328,000",40 Burgess Avenue,3+1,3,n/a,"Apr 14, 2021",2021-04-12 00:00:00.0,2021-04-14 00:00:00.0,Att/Row/Twnhouse,2-Storey,Toronto,Toronto,The Beaches,1199000.00,3,3,1,6,1.0,Toronto E02,Moberly Natural Foods,Sobeys,Rocca's No Frills,The Beer Store,Beer Store,Wine Rack,Happy Sushi,Relish Bar & Grill,John's Photo & Hobby,Beach Hill Restaurant,Carter's Ice Cream,Tim Hortons,WOODBINE & DANFORTH,Scotiabank,DANFORTH & DAWES,Leslieville Pumps,Danforth Gas & Wash,Lake Shore & Carlaw Esso,Kew Gardens,Beaches Park,Monarch Park,"Toronto Public Library, Main Street Branch",Beaches Library,Toronto Public Library - Beaches Branch,Versa Care Centre,Appletree Medical Centre,Appletree Medical Group,Shoppers Drug Mart,Toronto East Pharmasave,Beach valu-mart,Helical Piles East York,Shoppers World,Gerrard Square,Alliance Cinemas - The Beach,Fox Theatre,Poetic Stone Weddings,The Bartending School of Ontario,Bartending School of Ontario (The),Groove Bar & Grill,2044 Danforth Ave ,2451 Danforth Avenue ,269 Coxwell Avenue ,0.9,1.01,1.03,1270 Woodbine Avenue ,3130 Danforth Avenue ,17 Leslie Street  ,1.82,2.33,2.55,2143 Danforth Avenue ,2152 Danforth Avenue ,2188 Danforth Av ,0.86,0.87,0.88,1917 Grrard St E ,3 Woodmount Avenue ,2-2575 Danforth Avenue ,0.35,0.95,1.21,2076 Danforth Avenue ,2072 Danforth Avenue ,2780 Danforth Avenue ,0.88,0.9,1.52,929 Queen Street East ,3561 Danforth Avenue ,829 Lake Shore Boulevard East ,3.29,3.25,3.57,2075 Queen Street East ,77 Kew Beach Avenue ,115 Felstead Avenue ,1.45,1.68,1.41,137 Main Street ,2161 Queen Street East ,2161 Queen Street East ,0.87,1.23,1.23,77 Main Street ,1971 Queen Street East ,1971 Queen Street East ,0.85,1.14,1.15,1630 Danforth Avenue  ,825 Coxwell Avenue ,2266 Queen Street East ,1.27,1.89,1.9,3003 Danforth Avenue  ,3003 Danforth Avenue ,1000 Gerrard Street East ,1.67,1.9,2.67,1651 Queen Street East ,2236 Queen Street East ,416 Pharmacy Avenue ,1.42,1.81,3.19,2159 Danforth Ave ,2159 Danforth Ave ,1952 Danforth Avenue ,0.85,0.85,0.94,-79.308277,43.678573,1,38,https://www.zolo.ca/toronto-real-estate/40-burgess-avenue
"825,000", 12 Sudbury Street,2,1,800-899,"Apr 14, 2021",2021-04-12 00:00:00.0,2021-04-14 00:00:00.0,Condo Townhouse,3-Storey,Toronto,Toronto,Niagara,815000.00,2,1,1,5,1.0,Toronto C01,Metro,Loblaws,Anthony's No Frills,Bellwoods Brewery,Wine Rack,LCBO,Mildred's Temple Kitchen,Williams Landing,Locus 144,Balzac's Coffee - Liberty Village,The Knit Cafe,El Almacen,BLOOR & DOVERCOURT,RBC Royal Bank,TD Canada Trust Branch and ATM,King St Esso,Esso,Canadian Tire Gas TOR,Allan Lamport Stadium Park,Trinity Bellwoods Park,Exhibition Place,Toronto Public Library - Bloor/Gladstone Library,Bloor/Gladstone Library,TIFF Bell Lightbox,Centre for Addiction and Mental Health,Toronto Western Hospital,"THE MEDICAL PRACTICE , WALK-IN & FAMILY PRACTICE CLINIC",Shoppers Drug Mart,Rexall Pharma Plus,Rexall,Kensington Market,Chinatown Centre,Dufferin Mall,Ontario Place Corporation,The Royal,Cineforum,Williams Landing,Camera Bar,Sweaty Betty's,735 College St ,585 Queen Street West ,1435 King Street West ,1.44,1.47,1.57,124 Ossington Ave ,746 King Street West  ,900 Dufferin Street Unit  ,0.63,km,2.21,85 Hanna Ave  ,120 Lynn Williams St ,171 East Liberty Street  ,0.2,0.29,0.37,43 Hanna Avenue  ,1050 Queen Street West ,1078 Queen Street West ,0.35,0.32,0.37,972 Bloor Street West ,434-436 King Street West ,382 Roncesvalles Avenue ,2.37,1.98,2.82,952 King St W ,553 Lake Shore Boulevard West ,403 Keele Street ,0.51,1.61,4.63,1151 King Street West ,790 Queen Street West ,200 Princes Blvd ,0.53,0.81,1.05,1101 Bloor Street West ,1101 Bloor St W ,350 King Street West ,2.4,2.42,2.33,1001 Queen St W ,399 Bathur St ,799 Bloor Street West rd floor ,0.22,1.66,2.37,901 King Street West ,1421 Dundas Street West ,1421 Dundas Street West ,0.58,1.25,1.25,KensingtonKensington Ave ,222 Spadina Avenue ,900 Dufferin St ,2.01,1.95,2.15,955 Lake Shore Boulevard West ,608 College St ,463 Bathurst Street ,1.51,1.55,1.8,120 Lynn Williams St ,1028 Queen Street West ,13 Ossington Avenue ,0.29,0.31,0.34,-79.419451,43.641476,1,41,https://www.zolo.ca/toronto-real-estate/12-sudbury-street/605
"725,000", 65 East Liberty Street,1+1,1,600-699,"Apr 14, 2021",2021-04-12 00:00:00.0,2021-04-14 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Niagara,679000.00,1,1,1,4,1.0,Toronto C01,Loblaws,Harbour Green Farms,Metro,Bellwoods Brewery,Wine Rack,The Beer Store,Williams Landing,Locus 144,Politica Resto Bar,Balzac's Coffee - Liberty Village,Nadège Patisserie,Nadege ice cream shop,RBC Royal Bank,BLOOR & DOVERCOURT,Scotiabank,King St Esso,Canadian Tire Gas TOR,Petrocanada,The Toronto Inukshuk Park,Allan Lamport Stadium Park,Coronation Park,TIFF Bell Lightbox,Toronto Public Library - Bloor/Gladstone Library,Bloor/Gladstone Library,Centre for Addiction and Mental Health,Toronto Western Hospital,"THE MEDICAL PRACTICE , WALK-IN & FAMILY PRACTICE CLINIC",Shoppers Drug Mart,Loblaws,Toronto Western Hospital,Chinatown Centre,Kensington Market,Dufferin Mall,Ontario Place Corporation,The Royal,Cineforum,Brazen Head Irish Pub,Williams Landing,Locus 144,585 Queen Street West ,650 Queens Quay W ,735 College St ,1.39,1.28,1.83,124 Ossington Ave ,746 King Street West ,65 Brock Avenue ,1.07,0.95,1.62,120 Lynn Williams St ,171 East Liberty Street  ,127 Strachan Avenue ,0.27,0.28,0.56,43 Hanna Avenue  ,780 Queen Street West ,780 Queen Street West ,0.42,0.85,0.86,434-436 King Street West ,972 Bloor Street West ,40 King Street West ,1.79,2.82,3.03,952 King St W ,403 Keele Street ,90 The Queensway ,0.44,5.11,4.65,789 Lake Shore Boulevard West ,1151 King Street West ,711 Lake Shore Boulevard West ,0.77,0.7,0.78,350 King Street West ,1101 Bloor Street West ,1101 Bloor St W ,2.14,2.87,2.89,1001 Queen St W ,399 Bathur St ,799 Bloor Street West rd floor ,0.66,1.8,2.76,901 King Street West ,585 Queen Street West ,399 Bathur St ,0.47,1.39,1.8,222 Spadina Avenue ,KensingtonKensington Ave ,900 Dufferin St ,1.91,2.08,2.62,955 Lake Shore Boulevard West ,608 College St ,463 Bathurst Street ,1.11,1.87,1.99,165 East Liberty Street ,120 Lynn Williams St ,171 East Liberty Street  ,0.25,0.27,0.28,-79.414077,43.638151,1,44,https://www.zolo.ca/toronto-real-estate/65-east-liberty-street/712
"800,000", 20 Guildwood Parkway,2+1,2,1600-1799,"Apr 14, 2021",2021-04-10 00:00:00.0,2021-04-14 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Guildwood,775000.00,2,2,1,6,1.0,Toronto E08,Valu-Mart,Metro,Batala Supermarket,Beer Store The,The Beer Store,Beer Store,Subway,Olde Stone Cottage Pub,Subway Sandwich,Tim Hortons,Cornerstone Bakery Café,Country Style,CIBC Branch & ATM,CIBC Branch (CASH AT ATM ONLY),RBC Royal Bank,Esso,Shell Clean Plus,Pioneer Kingston Rd,Scarboro Golf & Country Club,Cedar Ridge Creative Centre,Galloway Park,Guildwood Library,Toronto Public Library - Guildwood Branch,Toronto Public Library - Guildwood Library,King-Mar Diagnostic Centre Scarborough Ultrasound X-ray,King-Mar Diagnostic Centre Inc,abc,Guildwood Drug Mart,Guildview Pharmacy,Metro Pharmacy,4410 Kingston Road,Babies R Us CEDARBRAE MALL,Cliffcrest Plaza,Cineplex Odeon Morningside Cinemas,Cineplex,Cineplex Odeon Corporation,Olde Stone Cottage Pub,Sunny Sports Bar & Grill,Sunny Sportsbar & Grill,123 Guildwood Parkway ,3221 Eglinton Avenue East ,200 Markham Road ,0.51,1.3,1.42,KingstonKingston Square ,3205 Eglinton Avenue East ,3205 Eglinton Avenue East ,1.35,1.45,1.45,123 Guildwood Pkwy ,3750 Kingston Rd ,123 Guildwood Pkwy ,0.54,0.55,0.57,3800 Kingston Road ,93 Guildwood Parkway ,665 Markham Road ,0.38,0.54,2.03,95 Guildwood Parkway ,95 Guildwood Parkway ,4374 Kingston Road ,0.47,0.54,2.09,3930 Lawrence Avenue East ,640 Markham Rd ,3279 Kingston ,1.55,1.99,2.63,321 Scarborough Golf Club Road ,225 Confederation Drive ,90 Galloway Road ,0.61,0.95,1.08,123 Guildwood Parkway ,123 Guildwood Parkway ,123 Guildwood Parkway  ,0.51,0.52,km,3227 Eglinton Avenue East ,3227 Eglinton Avenue East ,205 Markham Rd ,1.16,1.16,1.38,121 Guildwood Pkwy ,4160-4160 Kingston Road ,3221 glinton E ,0.57,1.01,1.3,4410 Kingston Road ,3495 Lawrnc Av E ,3049 Kingston Road ,2.25,2.03,3.56,785 Milner Avenue ,785 Milner Ave ,785 Milner ,5.19,5.23,5.24,3750 Kingston Road ,4190 Kingston Road Unit    ,4190 Kingston Road ,0.55,1.13,1.14,-79.205083,43.749142,1,47,https://www.zolo.ca/toronto-real-estate/20-guildwood-parkway/906
