sold_price,address,bedNum,bathNum,sqarefootage,soldOn,List Date,Sold Date,Type,Style,Area,Municipality,Community,List Price,Bedrooms,Bathrooms,Kitchens,Rooms,Parking Total,Municipality District,Groceries #1 name,Groceries #2 name,Groceries #3 name,Liquor Store #1 name,Liquor Store #2 name,Liquor Store #3 name,Restaurants #1 name,Restaurants #2 name,Restaurants #3 name,Coffee #1 name,Coffee #2 name,Coffee #3 name,Bank #1 name,Bank #2 name,Bank #3 name,Gas Station #1 name,Gas Station #2 name,Gas Station #3 name,Park #1 name,Park #2 name,Park #3 name,Library #1 name,Library #2 name,Library #3 name,Medical Care #1 name,Medical Care #2 name,Medical Care #3 name,Pharmacy #1 name,Pharmacy #2 name,Pharmacy #3 name,Mall #1 name,Mall #2 name,Mall #3 name,Movie Theatre #1 name,Movie Theatre #2 name,Movie Theatre #3 name,Bar #1 name,Bar #2 name,Bar #3 name,Groceries #1 address,Groceries #2 address,Groceries #3 address,Groceries #1 distance,Groceries #2 distance,Groceries #3 distance,Liquor Store #1 address,Liquor Store #2 address,Liquor Store #3 address,Liquor Store #1 distance,Liquor Store #2 distance,Liquor Store #3 distance,Restaurants #1 address,Restaurants #2 address,Restaurants #3 address,Restaurants #1 distance,Restaurants #2 distance,Restaurants #3 distance,Coffee #1 address,Coffee #2 address,Coffee #3 address,Coffee #1 distance,Coffee #2 distance,Coffee #3 distance,Bank #1 address,Bank #2 address,Bank #3 address,Bank #1 distance,Bank #2 distance,Bank #3 distance,Gas Station #1 address,Gas Station #2 address,Gas Station #3 address,Gas Station #1 distance,Gas Station #2 distance,Gas Station #3 distance,Park #1 address,Park #2 address,Park #3 address,Park #1 distance,Park #2 distance,Park #3 distance,Library #1 address,Library #2 address,Library #3 address,Library #1 distance,Library #2 distance,Library #3 distance,Medical Care #1 address,Medical Care #2 address,Medical Care #3 address,Medical Care #1 distance,Medical Care #2 distance,Medical Care #3 distance,Pharmacy #1 address,Pharmacy #2 address,Pharmacy #3 address,Pharmacy #1 distance,Pharmacy #2 distance,Pharmacy #3 distance,Mall #1 address,Mall #2 address,Mall #3 address,Mall #1 distance,Mall #2 distance,Mall #3 distance,Movie Theatre #1 address,Movie Theatre #2 address,Movie Theatre #3 address,Movie Theatre #1 distance,Movie Theatre #2 distance,Movie Theatre #3 distance,Bar #1 address,Bar #2 address,Bar #3 address,Bar #1 distance,Bar #2 distance,Bar #3 distance,longitude,latitude,pageNum,iterationNum,weblink
"1,610,000",85 Hounslow Heath Road,3+1,5,n/a,"Apr 01, 2021",2021-03-26 00:00:00.0,2021-04-01 00:00:00.0,Semi-Detached,2-Storey,Toronto,Toronto,Weston-Pellam Park,1150000.00,3,5,1,8,1.0,Toronto W03,The Sweet Potato,Tim & Sue's No Frills,Metro,The Beer Store,LCBO,Beer Store,Phoga Banh Cuon,The Dairy Freeze,Swiss Chalet,Junction Eatery,The Beet Organic Cafe & Market,Starbucks,RBC Royal Bank,National Bank,HSBC Bank,Esso,Canadian Tire Gas TOR,Shell Canada,Earlscourt Park,High Park Village,Ravina Gardens Park,St. Clair/Silverthorn Library,Toronto Public Library - St. Clair/Silverthorn Library,Toronto Public Library - St. Clair/Silverthorn Branch,herbalife independent distributor,LifeLabs,CML HealthCare Laboratory Services,I.D.A.,Shoppers Simply Pharmacy,St Clair Pharmacy Ltd,Toronto Weston Flea Market,Westside Mall,Showcase,Revue Cinema,The Revue Cinema,Humber Cinemas,Delta Bingo and Gaming,Indie Alehouse,FARMHOUSE tavern,2995 Dundas St W ,372 Pacific Avenue ,2155 St Clair Avenue West ,1.17,1.23,1.15,323 Symington Avenue ,2151 St Clair Ave W ,904 Dufferin Street ,1.06,1.09,2.55,1772 St Clair Ave W ,1601 St Clair Ave W ,590 Keele Street ,0.14,0.45,0.63,DundasDundas Street West ,2945 Dundas St W ,2151 St Clair Ave W  ,0.91,1.08,km,1970 Saint Clair Avenue West ,1295 Saint Clair Avenue West ,1241 Saint Clair Avenue West ,0.77,0.93,1.21,537 Keele Street ,403 Keele Street ,1610 Keele St ,0.63,0.88,1.38,1200 Lansdowne Avenue ,65 High Park Avenue ,290 Clendenan Ave ,0.66,2.04,1.87,1748 Saint Clair Avenue West ,1748 Saint Clair Avenue West ,1748 Saint Clair Avenue West ,0.11,0.11,0.11,62 Ennerdale Road ,1615 Dufferin Street  ,1615 Dufferin Street  ,1.8,1.46,1.46,576 Rogers Road ,1223 Saint Clair Avenue West  ,1223 St Clair W ,1.35,1.28,1.29,404 Old Weston Road ,2400 Eglinton Avenue West ,900 Dufferin Street ,0.3,2.25,2.64,400 Roncesvalles Ave ,400 Roncesvalles Ave ,2442 Bloor St W ,2.58,2.58,3.37,1799 St Clair Ave W ,2876 Dundas Street West ,1627 Dupont Street ,0.32,0.98,1.02,-79.459888,43.673626,68,66,https://www.zolo.ca/toronto-real-estate/85-hounslow-heath-road
"1,350,000",50 Macdonell Avenue,2,1,1500-2000,"Apr 01, 2021",2021-03-26 00:00:00.0,2021-04-01 00:00:00.0,Semi-Detached,2-Storey,Toronto,Toronto,Roncesvalles,989900.00,2,1,1,6,3.0,Toronto W01,Vi's No Frills,Anthony's No Frills,Rowe Farms - Roncesvalles,Beer Store The,Beer Store,The Beer Store,Rice & Noodle,Not My Dog,The Sister,Mitzi's Cafe,Rustic Cosmo Cafe,Lit Espresso Bar,TD Canada Trust Branch and ATM,TD Canada Trust,CIBC Branch,King St Esso,Petrocanada,Canadian Tire Gas TOR,Sorauren Park,Sorauren Avenue Park,Dufferin Grove Park,High Park Library,Toronto Public Library - Bloor/Gladstone Library,Bloor/Gladstone Library,Gamma-Dynacare Laboratories,CML HealthCare Laboratory Services,The Doctor's Office,No Frills Pharmacy,Drugstore Pharmacy,Rexall Pharma Plus,Dufferin Mall,Showcase,Kensington Market,The Revue Cinema,Revue Cinema,The Royal,Parts & Labour Catering & Restaurant,Parts & Labour,Parts & Labour Shop,1435 King Street West ,1435 King Street West ,105 Roncesvalles Avenue ,0.59,0.6,0.69,2135 Dundas Street West ,904 Dufferin Street ,904 Dufferin Street ,1.49,1.76,1.76,1508 Queen Street West ,1510 Queen Street West ,1554 Queen St W ,0.17,0.18,0.23,100 Sorauren Avenue ,1278 Queen Street West ,221 Roncesvalles Avenue ,0.31,0.71,0.91,382 Roncesvalles Avenue ,382 Roncesvalles Avenue ,2340 Dundas Street West ,1.38,1.38,1.99,952 King St W ,90 The Queensway ,403 Keele Street ,2.15,2.74,3.42,289 Sorauren Avenue ,289 Sorauren Ave ,875 Dufferin St ,0.86,0.86,1.7,228 Roncesvalles Avenue ,1101 Bloor Street West ,1101 Bloor St W ,0.9,2.04,2.05,27 Roncesvalles av   ,2238 Dundas Street West  ,2299 Dundas Street West ,0.65,1.74,1.88,222 Lansdowne Avenue ,222 Lansdowne Avenue ,1421 Dundas Street West ,0.85,0.88,1.13,900 Dufferin St ,900 Dufferin Street ,KensingtonKensington Ave ,1.61,1.69,3.36,400 Roncesvalles Ave ,400 Roncesvalles Ave ,608 College St ,1.42,1.43,2.44,1566 Queen Street West  ,1566 Queen St W ,1566 Queen Street West ,0.26,0.26,0.26,-79.438725,43.641853,68,68,https://www.zolo.ca/toronto-real-estate/50-macdonell-avenue
"1,155,000",1822 Dufferin Street,3+2,2,n/a,"Apr 01, 2021",2021-03-26 00:00:00.0,2021-04-01 00:00:00.0,Duplex,2-Storey,Toronto,Toronto,Corso Italia-Davenport,1188990.00,3,2,2,6,2.0,Toronto W03,Freddie's No Frills,Freddie's nofrills,Toronto Latino,LCBO Toronto-Central,The Beer Store,Beer Store,Sofra Nazar,Pizza e Pazzi,Sofra Grill Express,Boom Breakfast & Co,Atlas One Cafe Inc,McDonald's,HSBC Bank,National Bank,CIBC Branch with ATM,Esso,Canadian Tire Gas TOR,Shell Canada,Earlscourt Park,Fairbank Memorial Park,Cedarvale Park,Toronto Public Library - Dufferin/St. Clair Library,Toronto Public Library - Dufferin/St. Clair Branch,Dufferin/St. Clair Library,Dufferin Medical Pharmacy,LifeLabs,CML HealthCare Laboratory Services,St Clair Pharmacy Ltd,Shoppers Simply Pharmacy,Rexall Pharma Plus,Toronto Weston Flea Market,Westside Mall,Showcase,The Revue Cinema,Revue Cinema,Bloor Hot Docs Cinema,Dos Amigos,Zemra Bar Lounge,Ferro Bar & Cafe,243 Alberta Ave ,243 Alberta Avenue ,1786 Eglinton Avenue West ,0.88,0.89,1.65,908 St Clair Ave W  ,529 Oakwood Ave ,529 Oakwood Avenue ,0.89,1.38,1.38,1166 St Clair Ave W ,1182 St Clair Ave W ,1166 St Clair Ave W ,0.41,0.42,0.42,1036 St Clair Ave West ,820 Saint Clair Avenue West ,1807 Eglinton Ave W ,0.57,1.14,1.62,1241 Saint Clair Avenue West ,1295 Saint Clair Avenue West ,364 Oakwood Avenue ,0.5,0.67,0.77,537 Keele Street ,403 Keele Street ,1610 Keele St ,2.14,2.33,2.17,1200 Lansdowne Avenue ,2213 Dufferin St ,443 Arlington Ave ,1.03,1.14,1.64,1625 Dufferin Street ,1625 Dufferin Street ,1625 Dufferin Street ,0.54,0.55,0.55,2045 Dufferin Street ,1615 Dufferin Street  ,1615 Dufferin Street  ,0.55,0.6,0.6,1223 St Clair W ,1223 Saint Clair Avenue West  ,1245 Dupont Street ,0.46,0.47,1.54,404 Old Weston Road ,2400 Eglinton Avenue West ,900 Dufferin Street ,1.7,2.17,2.82,400 Roncesvalles Ave ,400 Roncesvalles Ave ,506 Bloor Street West ,3.43,3.44,3.29,1201 Bathurst Street ,778 Saint Clair Avenue West ,769 Saint Clair Avenue West ,0.82,1.26,1.3,-79.444721,43.681617,69,22,https://www.zolo.ca/toronto-real-estate/1822-dufferin-street
"1,130,000", 20 Richardson Street S,2+1,2,800-899,"Apr 01, 2021",2021-03-26 00:00:00.0,2021-04-01 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Waterfront Communities C8,899000.00,2,2,1,6,1.0,Toronto C08,Loblaws,Metro,Rocco's No Frills,LCBO,Steam Whistle Brewing,The Beer Store,Against the Grain Urban Tavern,Against the Grain Urban Tavern Corus Quay,Starbucks,Starbucks,Tim Hortons,Balzac's Coffee Roasters,Royal Bank Building,Scotiabank,RBC Royal Bank,Transfer Stations,Leslieville Pumps,Lake Shore & Carlaw Esso,Sugar Beach,Sherbourne Common,Toronto Sculpture Garden,Toronto Public Library - City Hall Library,City Hall Library,City 2 City Auto Transport,Patient Networks Family Medicine Walk In Clinic,St. Michael's Hospital,Infinity Health Centre,Shoppers Drug Mart,Toronto Western Hospital,Loblaws,Toronto-Dominion Centre,Toronto Eaton Centre,CF Toronto Eaton Centre,Imagine Cinemas Market Square,Elgin and Winter Garden Theatre Centre,Ed Mirvish Theatre,The Guvernment Entertainment Complex,Kool Haus,102.1 The Edge,10 Lower Jarvis Street ,80 Front Street East ,200 Front Street East ,0.16,0.52,0.66,2 Cooper Street ,255 Bremner Boulevard ,350 Queens Quay West ,0.43,1.42,1.81,25 Dockside Drive ,25 Dockside Drive ,132 Front Street East E ,0.31,0.32,0.5,132 Front Street East E ,323 Richmond Street East ,55 Mill Street ,0.5,0.87,0.9,8 King Street East ,40 King Street West ,200 Bay Street ,0.85,0.96,0.93,400 Commissioners St ,929 Queen Street East ,829 Lake Shore Boulevard East ,2.57,2.81,2.69,11 Dockside Drive ,61 Dockside Drive ,115 King St E ,0.23,0.33,0.63,100 Queen Street West ,100 Queen Street West ,100 Queen Street West ,1.46,1.46,1.51,157 Yonge Street ,30 Bond Street ,39 Lower Simcoe Street ,1.07,1.18,1.26,565 Sherbourne Street  ,399 Bathur St ,17 Leslie St ,2.8,3.13,3.64,66 ellington St W ,220 Yonge St ,220 Yonge Street ,1.05,1.33,1.38,80 Front Street East ,189 Yonge St ,244 Victoria Street ,0.52,1.19,1.39,132 Queens Quay East ,132 Quns Quay E ,25 Dockside Drive ,0.11,0.15,0.24,-79.368274,43.645093,69,24,https://www.zolo.ca/toronto-real-estate/20-richardson-street/3103
"1,100,101",6 Ardell Avenue,3,1,n/a,"Apr 01, 2021",2021-03-26 00:00:00.0,2021-04-01 00:00:00.0,Detached,Bungalow,Toronto,Toronto,Oakridge,829000.00,3,1,1,6,4.0,Toronto E06,FreshCo,Fu Yao Supermarket,Tasteco Supermarket,The Beer Store,Beer Store The,Beer Store,Dairy Queen Ltd Brazier,Ellas Restaurants Banquet & Catering,Swiss Chalet Rotisserie & Grill,Starbucks,Savoury Grounds Coffee Co Ltd,McDonald's,TD Canada Trust Branch and ATM,TD Canada Trust,BMO Bank of Montreal,Danforth Gas & Wash,Fas Gas Plus,Shell,Prairie Drive Park,Warden Woods,Dentonia Park Golf Course,Toronto Public Library - Taylor Memorial Library,Taylor Memorial Library,Toronto Public Library - Albert Campbell Library,Providence Healthcare,Fallingbrook Wellness Inc.,Versa Care Centre,Remedy's Rx,Danforth Pharmacy,Pharmasave,Shoppers World,Helical Piles East York,SmartCentres Scarborough,Poetic Stone Weddings,Fox Theatre,Cineplex,West Scarborough Neighbourhood Community Centre,The Birchmount,Buster's By The Bluffs,2490 Gerrard Street East ,462 Birchmount Road  ,462 Birchmount Road  ,1.25,1.24,1.25,3130 Danforth Avenue ,3431 Saint Clair Avenue East  ,3431 Saint Clair Avenue East ,0.9,1.8,1.8,10 Danforth Road ,35 Danforth Road ,3400 Danforth Ave ,0.44,0.41,0.5,1020 Kingston Road ,959 Kingston Road ,3150 Saint Clair Avenue East ,1.99,2.09,1.84,673 Warden Avenue ,1448 Kingston Road ,627 Pharmacy Avenue ,0.81,1.33,1.67,3561 Danforth Avenue ,747 Pharmacy Avenue ,2424 glinton Av E ,0.6,2.49,3.89,70 Prairie Drive ,74 Fir Valley Ct ,781 Victoria Park Avenue ,0.44,0.75,0.89,1440 Kingston Road ,1440 Kingston Road ,496 Birchmount Road ,1.3,1.3,1.34,3276 Saint Clair Avenue East ,1204 Kingston Road ,77 Main Street ,1.63,1.78,2.42,105 Firvalley Court ,3502 Danforth Av ,462 Birchmount ,0.58,0.6,1.29,3003 Danforth Avenue ,3003 Danforth Avenue  ,1900 Eglinton Avenue East ,1.32,1.55,3.54,416 Pharmacy Avenue ,2236 Queen Street East ,22 Lebovic Avenue ,0.93,2.9,2.87,313 Pharmacy ,462 Birchmount Rd ,1539 Kingston Rd ,0.72,1.23,1.29,-79.278824,43.698121,69,26,https://www.zolo.ca/toronto-real-estate/6-ardell-avenue
"941,000",38 Birchmount Road,2+1,2,n/a,"Apr 01, 2021",2021-03-26 00:00:00.0,2021-04-01 00:00:00.0,Detached,2-Storey,Toronto,Toronto,Birchcliffe-Cliffside,939000.00,2,2,1,5,1.0,Toronto E06,Fu Yao Supermarket,Tasteco Supermarket,Annick's Gluten Free Market,Beer Store The,Beer Store,The Beer Store,Enrico's Pizza,Buster's By The Bluffs,Wimpy's Diner,Savoury Grounds Coffee Co Ltd,Remarkable Bean,Eds Real Scoop,TD Canada Trust,TD Canada Trust Branch and ATM,CIBC Branch & ATM,Danforth Gas & Wash,Shell,Fas Gas Plus,Birchmount Park,Rosetta McClain Gardens,The Toronto Hunt,Taylor Memorial Library,Toronto Public Library - Taylor Memorial Library,Albert Campbell Library,Fallingbrook Wellness Inc.,Family Physician and Alpha Laboratories Inc.,Providence Healthcare,Danforth Pharmacy,Pharmasave,Shoppers Drug Mart,Shoppers World,Helical Piles East York,Cliffcrest Plaza,Poetic Stone Weddings,Fox Theatre,Cineplex,Buster's By The Bluffs,Birchmount Country Bar And Cactus Pete's,Birchmount Tavern,462 Birchmount Road  ,462 Birchmount Road  ,2351 Kingston Road ,1.79,1.8,1.92,3431 Saint Clair Avenue East ,3431 Saint Clair Avenue East ,3130 Danforth Avenue ,2.51,2.51,1.92,1736 Kingston Road ,1539 Kingston Rd ,1496 Kingston Road ,0.09,0.57,0.68,959 Kingston Road ,2242 Queen Street East ,2224 Queen Street East ,2.41,2.93,3,1448 Kingston Road ,673 Warden Avenue ,2472 Kingston Road ,0.85,1.94,2.26,3561 Danforth Avenue ,577 Birchmount Rd ,747 Pharmacy Avenue ,0.96,2.49,3.8,93 Birchmount Road ,5 Glen Everest Rd ,1355 Kingston Road ,0.53,0.76,1.5,1440 Kingston Road ,1440 Kingston Road ,496 Birchmount Rd ,0.87,0.87,1.84,1204 Kingston Road ,277 Scarboro Crescent ,3276 Saint Clair Avenue East ,1.79,2.4,2.87,3502 Danforth Av ,462 Birchmount ,2301 Kingston Rd ,0.96,1.72,1.81,3003 Danforth Avenue ,3003 Danforth Avenue  ,3049 Kingston Road ,2.28,2.49,4.42,416 Pharmacy Avenue ,2236 Queen Street East ,22 Lebovic Avenue ,2.41,2.96,4.1,1539 Kingston Rd ,462 Birchmount Road ,462 Birchmount Rd ,0.57,1.7,1.71,-79.262147,43.692295,69,28,https://www.zolo.ca/toronto-real-estate/38-birchmount-road
"895,000", 47 Lower River Street,1,2,800-899,"Apr 01, 2021",2021-03-26 00:00:00.0,2021-04-01 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Moss Park,899900.00,1,2,1,4,1.0,Toronto C08,A Taste Of Quebec,Rocco's No Frills,T&T Supermarket,Wine Rack,The Beer Store,Steam Whistle Brewing,Fusilli,Dominion On Queen Restaurant Bar & Lounge,Dominion Pub and Kitchen,Dark Horse Espresso Bar,F'Coffee,Merchants Of Green Coffee,CIBC Branch,CIBC Branch & ATM,CIBC Branch with ATM,Leslieville Pumps,Lake Shore & Carlaw Esso,Transfer Stations,Underpass Park,Corktown Common,Anniversary Park,Ryerson University Library,Ryerson University Library & Archives,Toronto Public Library - City Hall Library,Bridgepoint Active Healthcare,Bridgepoint Health,Bridgepoint Family Health Team,Loblaws,Loblaws - Leslie Street,Shoppers Drug Mart,Gerrard Square Shopping Centre,Gerrard Square,Toronto Eaton Centre,Polson Pier,Imagine Cinemas Market Square,Ed Mirvish Theatre,Dominion Pub and Kitchen,Prohibition Gastrohouse,Prohibition Gastrohouse - Queen East,55 Mill ,200 Front Street East ,222 Cherry Street ,0.68,1.06,1.5,17 Leslie Street  ,1117 Danforth Avenue ,255 Bremner Boulevard ,2.23,3.29,2.95,531 Queen Street East ,500 Queen Street East ,500 Qun St E ,0.14,0.29,0.3,630 Queen Street East ,641 Queen Street East ,2 Matilda St ,0.3,0.31,0.41,245 Carlton Street ,245 Carlton Street ,1000 Gerrard Street East ,1.32,1.32,1.96,929 Queen Street East ,829 Lake Shore Boulevard East ,400 Commissioners St ,1.27,1.45,1.52,33 Saint Lawrence Street ,175 Ferguson Ave South ,410 Parliament Street ,0.16,0.28,1.14,350 Victoria Street ,350 Victoria Street ,100 Queen Street West ,2.03,2.04,2.29,14 St Matthews Rd ,14 Saint Matthews Road ,430 Broadview Ave ,1.03,1.15,1.18,17 Leslie St ,17 Leslie Street ,1012 Pape Avenue ,2.23,2.24,3.63,1000 Gerrard Street East ,1000 Gerrard Street East ,220 Yonge St ,1.92,1.95,2.01,11 Polson St ,80 Front Street East ,244 Victoria Street ,1.72,1.6,1.93,500 Qun St E ,696 Qun St E ,696 Queen Street East ,0.3,0.48,0.48,-79.355115,43.65634,69,30,https://www.zolo.ca/toronto-real-estate/47-lower-river-street/ph31
"850,000",34 Demaris Avenue,3+2,2,n/a,"Apr 01, 2021",2021-03-26 00:00:00.0,2021-04-01 00:00:00.0,Semi-Detached,Backsplit 3,Toronto,Toronto,Glenfield-Jane Heights,759900.00,3,2,1,6,4.0,Toronto W05,Asian Food Centre Ltd.,Asian Food Centre,Asian Food,Beer Store,The Beer Store,LCBO,Pizza Pizza,Roti Palace,Popeye's Chicken & Biscuits,Cafe Mondiale,Starbucks,La Prep,CIBC Branch & ATM,TD Canada Trust Branch and ATM,TD Canada Trust,Petrocanada,Petro-Canada,Esso,Topcliff Park,Driftwood Park,Oakdale Park,York Woods Library,Toronto Public Library - York Woods Library,Jane/Sheppard Library,Humber River Hospital,Appletree Medical Centre,Gamma-Dynacare Medical Laboratores,Shoppers Drug Mart,Rexall,Rexall Pharma Plus,Jane Finch Mall,Council York Gates Limited,York Lanes,AMC Interchange 30,Colossus Vaughan Cinemas,Colossus Vaughan,Panafest Bar & Grill,Canlan Ice Sports,Salam Social Club,308 Eddystone Avenue ,308 Eddystone Avenue ,308 Eddystone ,1.46,1.48,1.5,2005 Finch Avenue West ,2005 Finch Ave W ,1 York Gate Boulevard ,0.72,0.73,0.75,1837 Finch Avenue West T ,1845 Finch Avenue West ,3865 Jane Street ,0.29,0.31,0.41,1947 Sheppard Av W ,4700 Keele S York UniversiyCenre for Film  T ,4700 Keele Street ,1.96,1.86,2.02,3863 Jane Street ,2709 Jane Street ,2709 Jane Street ,0.49,1.86,1.89,1493 Finch Avenue West ,1493 Finch Avenue West ,2669 Jane ,0.98,0.98,2,75 Topcliff Avenue ,44 Tobermory Drive ,350 Grandravine Drive ,0.18,0.62,1.03,1785 Finch Ave W ,1785 Finch Avenue West ,1906 Sheppard Ave W ,0.32,0.32,1.85,2111 Finch Avenue West ,4700 Keele Street ,1325 Finch Avenue West ,1.29,2.04,1.8,3975 Jane St ,4702 Jane Street ,JaneJane Street ,0.4,1.64,1.97,1911 Finch Ave W B ,1 York Gate ,4700 Keele Street ,0.4,0.84,2.03,30 Interchange Way ,3555 Hy  W ,3555 Hy  W ,3.96,4.38,4.39,2708 Jane St ,989 Murray Ross Parkway ,120 Norfinch Drive ,1.6,1.97,1.46,-79.510548,43.756887,69,32,https://www.zolo.ca/toronto-real-estate/34-demaris-avenue
"680,000", 16 Yonge Street,1,1,600-699,"Apr 01, 2021",2021-03-26 00:00:00.0,2021-04-01 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Waterfront Communities C1,649900.00,1,1,1,4,1.0,Toronto C01,Loblaws,Sobeys Urban Fresh – Queens Quay,Sobeys Urban Fresh Queens Quay,LCBO,Steam Whistle Brewing,The Beer Store,Captain John's Harbour Boat Restaurant,Real Sports,The Keg,The Strathcona Hotel,Starbucks,Tim Hortons,Royal Bank Building,Scotiabank,RBC Royal Bank,Esso,King St Esso,Shell,Toronto Sculpture Garden,Sugar Beach,Roundhouse Park,Toronto Public Library - City Hall Library,City Hall Library,City 2 City Auto Transport,Infinity Health Centre,Patient Networks Family Medicine Walk In Clinic,Emkiro Health Services | Toronto's Landmark for Healthcare™ | 📲 emkiro.ca,Loblaws,Shoppers Drug Mart,Toronto Western Hospital,Toronto-Dominion Centre,Toronto Eaton Centre,CF Toronto Eaton Centre,Imagine Cinemas Market Square,Elgin and Winter Garden Theatre Centre,Ed Mirvish Theatre,Real Sports,The Keg Steakhouse + Bar - Esplanade,The Keg,10 Lower Jarvis Street ,207 Queens Quay West ,207 Queens Quay West ,0.5,0.59,0.59,2 Cooper Street ,255 Bremner Boulevard ,350 Queens Quay West ,0.28,0.79,1.19,1 Queens Quay West ,15 York Street ,26 The Esplanade ,0.28,0.25,0.36,60 York Street ,132 Front Street East E ,323 Richmond Street East ,0.63,0.88,1.23,8 King Street East ,40 King Street West ,434-436 King Street West ,0.65,0.68,1.5,553 Lake Shore Boulevard West ,952 King St W ,1077 Yonge Street ,2.08,2.9,4.12,115 King St E ,11 Dockside Drive ,255 Bremner Blvd ,0.72,0.67,0.83,100 Queen Street West ,100 Queen Street West ,100 Queen Street West ,1.21,1.21,1.27,39 Lower Simcoe Street ,157 Yonge Street ,70 University Avenue  ,0.64,0.96,0.75,585 Queen Street West ,565 Sherbourne Street  ,399 Bathur St ,2.11,2.96,2.65,66 ellington St W ,220 Yonge St ,220 Yonge Street ,0.62,1.21,1.26,80 Front Street East ,189 Yonge St ,244 Victoria Street ,0.68,1.09,1.33,15 York Street ,26 The Esplanade ,26 The Esplanade ,0.25,0.36,0.36,-79.376636,43.643382,69,34,https://www.zolo.ca/toronto-real-estate/16-yonge-street/3113
"652,000", 525 Adelaide Street W,1,1,500-599,"Apr 01, 2021",2021-03-26 00:00:00.0,2021-04-01 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Waterfront Communities C1,599900.00,1,1,1,4,1.0,Toronto C01,Loblaws,Fresh & Wild,Kensington Fruit Market,Wine Rack,LCBO,The Beer Store,Blowfish,Sadies Diner & Juice Bar,Wheat Sheaf Tavern,Starbucks,Dark Horse Espresso Bar,Brassaii,RBC Royal Bank,CIBC Branch with ATM,Scotiabank,Esso,King St Esso,Shell,Victoria Memorial Park,Canoe Landing,Clarence Square Park,TIFF Bell Lightbox,Royal Canadian Military Institute,City 2 City Auto Transport,Toronto Western Hospital,Centre for Addiction and Mental Health,Mount Sinai Hospital,Loblaws,Toronto Western Hospital,Shoppers Drug Mart,Chinatown Centre,Kensington Market,Toronto-Dominion Centre,Toronto International Film Festival,Cineforum,Scotiabank Theatre Toronto,Wheat Sheaf Tavern,SpiritHouse Toronto,The Hoxton Nightclub,585 Queen Street West ,69 Spadina Avenue ,34 St Andrew Street ,0.2,0.59,1,746 King Street West ,415 King Street West ,350 Queens Quay West ,0.28,0.61,1.3,668 King Street West ,504 Adelaide Street West ,667 King Street West ,0.14,0.13,0.17,625 King Street West ,684 Queen Street West ,461 King St W ,0.16,0.45,0.47,434-436 King Street West ,532 Bloor Street West ,40 King Street West ,0.63,2.35,1.87,553 Lake Shore Boulevard West ,952 King St W ,1077 Yonge Street ,1.03,0.87,3.89,10 Niagara Street ,95 Fort York Blvd ,25 Clarence Square ,0.33,0.82,0.69,350 King Street West ,426 University Avenue ,100 Queen Street West ,0.98,1.48,1.73,399 Bathur St ,1001 Queen St W ,600 University Avenue ,0.96,1.33,1.64,585 Queen Street West ,399 Bathur St ,901 King Street West ,0.2,0.96,0.8,222 Spadina Avenue ,KensingtonKensington Ave ,66 ellington St W ,0.71,1.01,1.69,350 King Street West ,463 Bathurst Street ,259 Richmond Street West ,0.91,1.21,0.95,667 King Street West ,487 Adelaide Street West ,69 Bathurst Street ,0.17,0.13,0.21,-79.402126,43.645044,69,36,https://www.zolo.ca/toronto-real-estate/525-adelaide-street-west/624
