sold_price,address,bedNum,bathNum,sqarefootage,soldOn,List Date,Sold Date,Type,Style,Area,Municipality,Community,List Price,Bedrooms,Bathrooms,Kitchens,Rooms,Parking Total,Municipality District,Groceries #1 name,Groceries #2 name,Groceries #3 name,Liquor Store #1 name,Liquor Store #2 name,Liquor Store #3 name,Restaurants #1 name,Restaurants #2 name,Restaurants #3 name,Coffee #1 name,Coffee #2 name,Coffee #3 name,Bank #1 name,Bank #2 name,Bank #3 name,Gas Station #1 name,Gas Station #2 name,Gas Station #3 name,Park #1 name,Park #2 name,Park #3 name,Library #1 name,Library #2 name,Library #3 name,Medical Care #1 name,Medical Care #2 name,Medical Care #3 name,Pharmacy #1 name,Pharmacy #2 name,Pharmacy #3 name,Mall #1 name,Mall #2 name,Mall #3 name,Movie Theatre #1 name,Movie Theatre #2 name,Movie Theatre #3 name,Bar #1 name,Bar #2 name,Bar #3 name,Groceries #1 address,Groceries #2 address,Groceries #3 address,Groceries #1 distance,Groceries #2 distance,Groceries #3 distance,Liquor Store #1 address,Liquor Store #2 address,Liquor Store #3 address,Liquor Store #1 distance,Liquor Store #2 distance,Liquor Store #3 distance,Restaurants #1 address,Restaurants #2 address,Restaurants #3 address,Restaurants #1 distance,Restaurants #2 distance,Restaurants #3 distance,Coffee #1 address,Coffee #2 address,Coffee #3 address,Coffee #1 distance,Coffee #2 distance,Coffee #3 distance,Bank #1 address,Bank #2 address,Bank #3 address,Bank #1 distance,Bank #2 distance,Bank #3 distance,Gas Station #1 address,Gas Station #2 address,Gas Station #3 address,Gas Station #1 distance,Gas Station #2 distance,Gas Station #3 distance,Park #1 address,Park #2 address,Park #3 address,Park #1 distance,Park #2 distance,Park #3 distance,Library #1 address,Library #2 address,Library #3 address,Library #1 distance,Library #2 distance,Library #3 distance,Medical Care #1 address,Medical Care #2 address,Medical Care #3 address,Medical Care #1 distance,Medical Care #2 distance,Medical Care #3 distance,Pharmacy #1 address,Pharmacy #2 address,Pharmacy #3 address,Pharmacy #1 distance,Pharmacy #2 distance,Pharmacy #3 distance,Mall #1 address,Mall #2 address,Mall #3 address,Mall #1 distance,Mall #2 distance,Mall #3 distance,Movie Theatre #1 address,Movie Theatre #2 address,Movie Theatre #3 address,Movie Theatre #1 distance,Movie Theatre #2 distance,Movie Theatre #3 distance,Bar #1 address,Bar #2 address,Bar #3 address,Bar #1 distance,Bar #2 distance,Bar #3 distance,longitude,latitude,pageNum,iterationNum,weblink
"910,500", 399 Adelaide Street W,1+1,2,800-899,"Mar 08, 2021",2021-03-01 00:00:00.0,2021-03-08 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Waterfront Communities C1,749000.00,1,2,1,3,1.0,Toronto C01,Fresh & Wild,Loblaws,Sobeys Urban Fresh Spadina,LCBO,Wine Rack,The Beer Store,Brassaii,Brant House,Jacobs & Co,Brassaii,Fresh & Wild,Starbucks,RBC Royal Bank,Scotiabank,Royal Bank Building,Esso,King St Esso,Shell,Clarence Square Park,Clarence Square,Victoria Memorial Park,TIFF Bell Lightbox,Royal Canadian Military Institute,City 2 City Auto Transport,Toronto Western Hospital,Emkiro Health Services | Toronto's Landmark for Healthcare™ | 📲 emkiro.ca,Mount Sinai Hospital,Loblaws,Toronto Western Hospital,Shoppers Drug Mart,Chinatown Centre,Kensington Market,Toronto-Dominion Centre,Toronto International Film Festival,Scotiabank Theatre Toronto,Cineplex Cinemas Scotiabank Theatre,Brassaii,Brant House,Fynn's of Temple Bar,69 Spadina Avenue ,585 Queen Street West ,22 Fort York Boulevard ,0.16,0.41,0.67,415 King Street West ,746 King Street West ,350 Queens Quay West ,0.2,0.71,1.07,461 King Street West ,522 King Street West ,12 Brant Street ,0.14,0.14,0.14,461 King St W ,69 Spadina Avenue ,625 King Street West ,0.14,0.16,0.45,434-436 King Street West ,40 King Street West ,8 King Street East ,0.2,1.42,1.56,553 Lake Shore Boulevard West ,952 King St W ,1077 Yonge Street ,1.15,1.31,3.7,25 Clarence Square ,25 Clarence Square ,10 Niagara Street ,0.34,0.36,0.48,350 King Street West ,426 University Avenue ,100 Queen Street West ,0.53,1.1,1.31,399 Bathur St ,70 University Avenue  ,600 University Avenue ,1.09,1,1.34,585 Queen Street West ,399 Bathur St ,901 King Street West ,0.41,1.09,1.25,222 Spadina Avenue ,KensingtonKensington Ave ,66 ellington St W ,0.52,0.94,1.25,350 King Street West ,259 Richmond Street West ,259 Richmond Street West ,0.47,0.51,0.54,461 King St W ,522 King Street West ,489 King Street West ,0.14,0.14,0.16,-79.39748,43.646245,242,68,https://www.zolo.ca/toronto-real-estate/399-adelaide-street-west/508
"830,000", 36 Charlotte Street,2,2,700-799,"Mar 08, 2021",2021-03-01 00:00:00.0,2021-03-08 00:00:00.0,Condo Apt,2-Storey,Toronto,Toronto,Waterfront Communities C1,738000.00,2,2,1,6,1.0,Toronto C01,Fresh & Wild,Sobeys Urban Fresh Spadina,Loblaws,The Beer Store,Steam Whistle Brewing,Wine Rack,Marquis Bistro & Lounge,Marquis Lounge and Bistro,Khao San Road,Fresh & Wild,Brassaii,Starbucks,RBC Royal Bank,Scotiabank,Royal Bank Building,Esso,King St Esso,Shell,Clarence Square Park,Clarence Square,Victoria Memorial Park,TIFF Bell Lightbox,Royal Canadian Military Institute,City 2 City Auto Transport,Emkiro Health Services | Toronto's Landmark for Healthcare™ | 📲 emkiro.ca,Mount Sinai Hospital,Infinity Health Centre,Loblaws,Toronto Western Hospital,Shoppers Drug Mart,Chinatown Centre,Kensington Market,Toronto-Dominion Centre,Toronto International Film Festival,Scotiabank Theatre Toronto,Cineplex Cinemas Scotiabank Theatre,Marquis Bistro & Lounge,Bloke,Bloke & 4th,69 Spadina Avenue ,22 Fort York Boulevard ,585 Queen Street West ,0.12,0.68,0.62,350 Queens Quay West ,255 Bremner Boulevard ,746 King Street West ,1,0.96,0.93,92 Peter Street ,92 Peter St ,326 Adelaide West ,0.07,0.08,0.19,69 Spadina Avenue ,461 King St W ,625 King Street West ,0.12,0.26,0.66,434-436 King Street West ,40 King Street West ,8 King Street East ,0.11,1.2,1.34,553 Lake Shore Boulevard West ,952 King St W ,1077 Yonge Street ,1.25,1.53,3.63,25 Clarence Square ,25 Clarence Square ,10 Niagara Street ,0.28,0.29,0.66,350 King Street West ,426 University Avenue ,100 Queen Street West ,0.31,0.94,1.12,70 University Avenue  ,600 University Avenue ,39 Lower Simcoe Street ,0.78,1.23,0.99,585 Queen Street West ,399 Bathur St ,901 King Street West ,0.62,1.22,1.46,222 Spadina Avenue ,KensingtonKensington Ave ,66 ellington St W ,0.56,0.99,1.03,350 King Street West ,259 Richmond Street West ,259 Richmond Street West ,0.25,0.31,0.34,92 Peter Street ,401 King Street West ,401 King St W ,0.07,0.14,0.14,-79.394151,43.646561,243,22,https://www.zolo.ca/toronto-real-estate/36-charlotte-street/707
"825,000", 33 Sheppard Avenue E,2,2,900-999,"Mar 08, 2021",2021-03-01 00:00:00.0,2021-03-08 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Willowdale East,799900.00,2,2,1,5,1.0,Toronto C14,Rabba Fine Foods,Spring Garden Market,Loblaws - Empress Walk,The Beer Store,Wine Rack,LCBO,Shoeless Joe's,Subway,Cafe Mirage,McDonald's,Second Cup,Starbucks,Alterna Savings,RBC Royal Bank,BMO Bank of Montreal,Bathurst And Wilson ESSO,Petro-Canada,SHELL - Bathurst Street Toronto,Mel Lastman Square,Dempsey Park,Tournament Park,Toronto Public Library - North York Central Library - Pop Up Branch,Toronto Public Library - Pop-Up Branch at North York Central Library,Toronto Public Library - North York Central Library Pop-Up Branch,Spinal Relief Centre of Canada,Toronto Cosmetic Clinic,Toronto North Animal Hospital,North York City Centre Pharmacy,Trillium Specialty Pharmacy,Rexall Pharma Plus,Sheppard Centre Management Office,Riocan Empress Walk Inc,Bayview Village,Cineplex Odeon Sheppard Cinemas,Empress Walk,Cineplex Cinemas Yorkdale,Shoeless Joe's,Boston Pizza,The Frog,12 Harrison Garden Boulevard ,63 Spring Garden Avenue ,5095 Yonge Street ,0.37,0.38,0.92,SheppardSheppard  Willowdale ,20 Church Avenue ,2901 Bayview Avenue Unit  ,0.82,1.48,2.03,43 Sheppard Avenue East ,33 Shppard Av E ,4841 Yonge St  ,0.06,0.06,0.18,4808 Yonge Street  ,5095 Yonge Street ,5140 Yonge St ,km,0.84,0.85,4900 Yonge Street ,5001 Yonge Street ,5140 Yonge Street ,0.35,0.57,0.89,3750 Bathurst ,3351 Bayview Avenue  ,4926 Bathur St ,3.34,3.75,2.98,5100 Yonge Street ,250 Beecroft Road ,40 Tournament Drive ,0.8,1.23,1.34,5120 Yonge Street ,5120 Yonge Street ,5120 Yonge Street ,0.88,0.88,0.88,53 The Links Road  ,5400 Yonge St ,317 Shppard Av E ,1.22,1.57,1.49,5 Park Home Avenue Unit  ,130-5 Park Home Avenue ,288 Sheppard Avenue East ,0.93,0.93,0.96,2 Shppard Av E ,5095 Yonge St ,2901 Bayview Ave ,0.15,0.86,2.08,4861 Yonge Street ,5095 Yonge Street ,3401 Dufferin Street ,0.19,0.87,5.06,43 Sheppard Avenue East ,4841 Yonge St  ,4854 Yonge Street ,0.06,0.19,0.27,-79.409218,43.761645,243,24,https://www.zolo.ca/toronto-real-estate/33-sheppard-avenue-east/1408
"823,800", 209 Fort York Boulevard,2+1,2,800-899,"Mar 08, 2021",2021-03-01 00:00:00.0,2021-03-08 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Niagara,809990.00,2,2,1,5,1.0,Toronto C01,Harbour Green Farms,Loblaws,Sobeys Urban Fresh Spadina,Wine Rack,LCBO,The Beer Store,Edulis Restaurant,Old York Bar Grill,Wabora,Starbucks,Dufflet Pastries - Downtown,Dark Horse Espresso Bar,RBC Royal Bank,Scotiabank,CIBC Branch with ATM,King St Esso,Canadian Tire Gas TOR,Petrocanada,Coronation Park,Little Norway Park,The Toronto Inukshuk Park,TIFF Bell Lightbox,Royal Canadian Military Institute,Toronto Public Library - City Hall Library,Centre for Addiction and Mental Health,Toronto Western Hospital,Infinity Health Centre,Shoppers Drug Mart,Loblaws,Toronto Western Hospital,Chinatown Centre,Kensington Market,Toronto-Dominion Centre,Ontario Place Corporation,Toronto International Film Festival,Scotiabank Theatre Toronto,Old York Bar Grill,Thompson Toronto,Foggy Dew Irish Pub,650 Queens Quay W ,585 Queen Street West ,22 Fort York Boulevard ,0.49,1.13,0.92,746 King Street West ,415 King Street West ,350 Queens Quay West ,0.73,1.22,1.26,169 Niagara Street ,167 Niagara Street ,550 Wellington Street West ,0.56,0.57,0.68,625 King Street West ,787 Queen Street West ,684 Queen Street West ,0.81,1.06,1.07,434-436 King Street West ,40 King Street West ,532 Bloor Street West ,1.25,2.41,3.19,952 King St W ,403 Keele Street ,90 The Queensway ,0.81,5.82,5.43,711 Lake Shore Boulevard West ,659 Queens Quay West ,789 Lake Shore Boulevard West ,0.36,0.58,0.66,350 King Street West ,426 University Avenue ,100 Queen Street West ,1.56,2.29,2.44,1001 Queen St W ,399 Bathur St ,39 Lower Simcoe Street ,1.33,1.83,1.77,901 King Street West ,585 Queen Street West ,399 Bathur St ,0.76,1.13,1.83,222 Spadina Avenue ,KensingtonKensington Ave ,66 ellington St W ,1.62,1.94,2.19,955 Lake Shore Boulevard West ,350 King Street West ,259 Richmond Street West ,1.21,1.51,1.66,167 Niagara Street ,550 ellington St W ,803 King Street West ,0.57,0.68,0.68,-79.404529,43.637063,243,26,https://www.zolo.ca/toronto-real-estate/209-fort-york-boulevard/1069
"820,000", 390 Cherry Street,1,1,700-799,"Mar 08, 2021",2021-03-01 00:00:00.0,2021-03-08 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Waterfront Communities C8,699000.00,1,1,1,4,1.0,Toronto C08,A Taste Of Quebec,Rocco's No Frills,T&T Supermarket,Steam Whistle Brewing,Wine Rack,The Beer Store,Pure Spirits Oyster House & Grill,SOMA chocolatemaker,The Boiler House,Cafe Uno,CAFFE FURBO,Balzac's Coffee Roasters,CIBC Branch,CIBC Branch & ATM,CIBC Branch with ATM,Leslieville Pumps,Transfer Stations,Lake Shore & Carlaw Esso,Underpass Park,Corktown Common,Sherbourne Common,Ryerson University Library,Ryerson University Library & Archives,City Hall Library,Bridgepoint Active Healthcare,Bridgepoint Health,Bridgepoint Family Health Team,Loblaws,Loblaws - Leslie Street,Marshall's Drug Store,Toronto Eaton Centre,CF Toronto Eaton Centre,Toronto-Dominion Centre,Polson Pier,Imagine Cinemas Market Square,Elgin and Winter Garden Theatre Centre,El Catrin Destileria,Mill St. Brew Pub,Stirling Room,55 Mill ,200 Front Street East ,222 Cherry Street ,0.05,0.73,0.94,255 Bremner Boulevard ,17 Leslie Street  ,1117 Danforth Avenue ,2.48,2.6,3.93,17 Tank House Ln ,32 Tank House Lane ,18 Tank House Lane ,0.03,0.05,0.05,55 Mill Street ,12 Case Goods Ln ,55 Mill Street ,0.05,0.12,0.17,245 Carlton Street ,245 Carlton Street ,245 Carlton Street ,1.73,1.73,1.73,929 Queen Street East ,400 Commissioners St ,829 Lake Shore Boulevard East ,1.74,1.57,1.64,33 Saint Lawrence Street ,175 Ferguson Ave South ,61 Dockside Drive ,0.51,0.59,0.85,350 Victoria Street ,350 Victoria Street ,100 Queen Street West ,2.04,2.06,2.12,14 St Matthews Rd ,14 Saint Matthews Road ,430 Broadview Ave ,1.7,1.82,1.85,17 Leslie St ,17 Leslie Street ,412 Summerhill Avenue ,2.58,2.61,4.23,220 Yonge St ,220 Yonge Street ,66 ellington St W ,1.88,1.92,1.96,11 Polson St ,80 Front Street East ,189 Yonge St ,1.09,1.24,1.78,18 Tank House Lane ,21 Tank House Lane ,55 Mill Street  ,0.09,0.09,0.19,-79.356986,43.650047,243,28,https://www.zolo.ca/toronto-real-estate/390-cherry-street/3604
"760,000", 80 Western Battery Road,1,1,600-699,"Mar 08, 2021",2021-03-01 00:00:00.0,2021-03-08 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Niagara,599000.00,1,1,1,4,1.0,Toronto C01,Loblaws,Metro,Harbour Green Farms,Bellwoods Brewery,Wine Rack,The Beer Store,Williams Landing,Locus 144,Politica Resto Bar,Balzac's Coffee - Liberty Village,Nadège Patisserie,Nadege ice cream shop,RBC Royal Bank,BLOOR & DOVERCOURT,Scotiabank,King St Esso,Canadian Tire Gas TOR,Petrocanada,Allan Lamport Stadium Park,Trinity Bellwoods Park,The Toronto Inukshuk Park,TIFF Bell Lightbox,Toronto Public Library - Bloor/Gladstone Library,Bloor/Gladstone Library,Centre for Addiction and Mental Health,Toronto Western Hospital,"THE MEDICAL PRACTICE , WALK-IN & FAMILY PRACTICE CLINIC",Shoppers Drug Mart,Loblaws,Toronto Western Hospital,Chinatown Centre,Kensington Market,Dufferin Mall,Ontario Place Corporation,The Royal,Cineforum,Brazen Head Irish Pub,Williams Landing,Locus 144,585 Queen Street West ,735 College St ,650 Queens Quay W ,1.33,1.69,1.35,124 Ossington Ave ,746 King Street West ,65 Brock Avenue ,0.94,0.9,1.55,120 Lynn Williams St ,171 East Liberty Street  ,127 Strachan Avenue ,0.24,0.29,0.44,43 Hanna Avenue  ,780 Queen Street West ,780 Queen Street West ,0.41,0.74,0.74,434-436 King Street West ,972 Bloor Street West ,40 King Street West ,1.76,2.68,3.01,952 King St W ,403 Keele Street ,90 The Queensway ,0.34,5,4.63,1151 King Street West ,790 Queen Street West ,789 Lake Shore Boulevard West ,0.69,0.95,0.9,350 King Street West ,1101 Bloor Street West ,1101 Bloor St W ,2.11,2.74,2.76,1001 Queen St W ,399 Bathur St ,799 Bloor Street West rd floor ,0.54,1.69,2.63,901 King Street West ,585 Queen Street West ,399 Bathur St ,0.39,1.33,1.69,222 Spadina Avenue ,KensingtonKensington Ave ,900 Dufferin St ,1.84,1.99,2.5,955 Lake Shore Boulevard West ,608 College St ,463 Bathurst Street ,1.25,1.73,1.88,165 East Liberty Street ,120 Lynn Williams St ,171 East Liberty Street  ,0.25,0.24,0.29,-79.414404,43.639286,243,30,https://www.zolo.ca/toronto-real-estate/80-western-battery-road/608
"750,817", 12 Laidlaw Street,2+1,1,800-899,"Mar 08, 2021",2021-03-01 00:00:00.0,2021-03-08 00:00:00.0,Condo Townhouse,Stacked Townhse,Toronto,Toronto,South Parkdale,668000.00,2,1,1,5,1.0,Toronto W01,Anthony's No Frills,Vi's No Frills,Metro,Bellwoods Brewery,LCBO,The Beer Store,Caffino,Caffino Inc,Gladstone Hotel,Beaver Cafe,Gladstone Hotel,School,BLOOR & DOVERCOURT,TD Canada Trust Branch and ATM,TD Canada Trust,King St Esso,Petro-Canada,Petrocanada,Allan Lamport Stadium Park,Exhibition Place,Trinity Bellwoods Park,Toronto Public Library - Bloor/Gladstone Library,Bloor/Gladstone Library,High Park Library,Centre for Addiction and Mental Health,Gamma-Dynacare Laboratories,Toronto Western Hospital,Rexall Pharma Plus,Rexall,Shoppers Drug Mart,Dufferin Mall,Showcase,Kensington Market,Ontario Place Corporation,The Royal,Cineforum,Beaver Cafe,Brooklynn Bar,Forty2 Supperclub,1435 King Street West ,1435 King Street West ,735 College St ,0.89,0.89,1.7,124 Ossington Ave ,900 Dufferin Street Unit  ,904 Dufferin Street ,0.93,2.02,2.13,1185 King Street West ,1185 King Street West ,1214 Queen St West ,0.13,0.14,0.31,1192 Queen Street West ,1214 Queen St West ,70 Fraser Ave ,0.3,0.31,0.3,972 Bloor Street West ,382 Roncesvalles Avenue ,382 Roncesvalles Avenue ,2.38,2.3,2.3,952 King St W ,90 The Queensway ,90 The Queensway ,1.19,3.64,3.68,1151 King Street West ,200 Princes Blvd ,790 Queen Street West ,0.36,0.95,1.34,1101 Bloor Street West ,1101 Bloor St W ,228 Roncesvalles Avenue ,2.29,2.31,1.9,1001 Queen St W ,27 Roncesvalles av   ,399 Bathur St ,0.75,1.59,2.23,1421 Dundas Street West ,1421 Dundas Street West ,901 King Street West ,1.07,1.07,1.26,900 Dufferin St ,900 Dufferin Street ,KensingtonKensington Ave ,1.94,2.04,2.62,955 Lake Shore Boulevard West  ,608 College St ,463 Bathurst Street ,1.66,1.95,2.33,1192 Queen Street West ,1186 Queen Street West ,42 Mowat Avenue ,0.3,0.31,0.36,-79.426737,43.639993,243,32,https://www.zolo.ca/toronto-real-estate/12-laidlaw-street/817
"700,000", 1638 Bloor Street W,1+1,1,700-799,"Mar 08, 2021",2021-03-01 00:00:00.0,2021-03-08 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,High Park North,670000.00,1,1,1,4,1.0,Toronto W02,Loblaws,Sobeys Urban Fresh – High Park,Sobeys Urban Fresh High Park,Beer Store The,The Beer Store,Beer Store,Latinada,The Thai Cuisine,Whelan's Gate Irish Pub,Tim Hortons,McDonald's,Hula Girl Espresso Boutique,CIBC Branch & ATM,CIBC Branch,TD Canada Trust Branch and ATM,Canadian Tire Gas TOR,Esso,Petrocanada,High Park Village,High Park,Sorauren Park,Annette Street Library,High Park Library,Runnymede Library,The Doctor's Office,CML HealthCare Laboratory Services,Gamma-Dynacare Laboratories,High Park Pharmacy,Drugstore Pharmacy,No Frills Pharmacy,Toronto Weston Flea Market,Showcase,Dufferin Mall,Revue Cinema,The Revue Cinema,Humber Cinemas,Latinada,The Mugshot Tavern,Hugh's Room Live,2280 Dundas Street West ,199 Roncesvalles Avenue ,199 Roncesvalles Avenue ,0.42,1.34,1.35,2135 Dundas Street West ,323 Symington Avenue ,904 Dufferin Street ,0.66,1.25,1.62,1671 Bloor St W ,1675 Bloor St W ,1663 Bloor Street West ,0.05,0.04,0.05,1728 Bloor Street West ,2365 Dundas Street West ,2473 Dundas Street West ,0.16,0.35,0.51,2340 Dundas Street West ,2340 Dundas Street West ,382 Roncesvalles Avenue ,0.39,0.39,0.73,403 Keele Street ,537 Keele Street ,90 The Queensway ,1.34,1.78,2.43,65 High Park Avenue ,1873 Bloor St W ,289 Sorauren Avenue ,0.74,1.16,1.32,145 Annette Street ,228 Roncesvalles Avenue ,2178 Bloor Street West ,1.15,1.34,1.46,2299 Dundas Street West ,2238 Dundas Street West  ,27 Roncesvalles av   ,0.36,0.43,1.95,1938 Bloor W ,222 Lansdowne Avenue ,222 Lansdowne Avenue ,0.85,1.48,1.49,404 Old Weston Road ,900 Dufferin Street ,900 Dufferin St ,2.15,1.66,1.71,400 Roncesvalles Ave ,400 Roncesvalles Ave ,2442 Bloor St W ,0.68,0.69,2.39,1671 Bloor Street West ,1729 Bloor Street West ,2261 Dundas Street West ,0.05,0.26,0.39,-79.456566,43.655707,243,34,https://www.zolo.ca/toronto-real-estate/1638-bloor-street-west/402
"641,000", 35 Hollywood Avenue,1+1,1,600-699,"Mar 08, 2021",2021-03-01 00:00:00.0,2021-03-08 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Willowdale East,599800.00,1,1,1,5,1.0,Toronto C14,Spring Garden Market,Loblaws - Empress Walk,Rabba Fine Foods,Wine Rack,The Beer Store,Dionysus Wines,Kiyomizu Restaurant,Ichiban Fish House,Spring Garden,Second Cup,McDonald's,Tim Hortons,Alterna Savings,BMO Bank of Montreal,CIBC,SHELL - Bathurst Street Toronto,Shell,Bathurst And Wilson ESSO,Mel Lastman Square,Dempsey Park,Tournament Park,North York Central Library - Toronto Public Library,Toronto Public Library - North York Central Library,Toronto Public Library - North York Central Library Pop Up Location,Toronto Cosmetic Clinic,Spinal Relief Centre of Canada,Stem Sciences Inc,Trillium Specialty Pharmacy,North York City Centre Pharmacy,North York City Center Pharmacy,Riocan Empress Walk Inc,Sheppard Centre Management Office,Bayview Village,Cineplex Odeon Sheppard Cinemas,Empress Walk,Cineplex Cinemas Yorkdale,Sushi Moto,Studio Lounge Karaoke,Moxie's Grill & Bar - Madison Centre,63 Spring Garden Avenue ,5095 Yonge Street ,12 Harrison Garden Boulevard ,0.12,0.43,0.87,20 Church Avenue ,SheppardSheppard  Willowdale ,173 Finch Av W ,0.97,0.86,2.02,41 Spring Garden Avenue ,15 Spring Garden Ave ,25 Spring Garden Avenue ,0.13,0.13,0.14,5095 Yonge Street ,4808 Yonge Street ,5383 Yonge Street ,0.35,0.41,1.06,4900 Yonge Street ,5140 Yonge Street ,5255 Yonge St ,0.31,0.41,0.74,4926 Bathur St ,4926 Bathurst Street ,3750 Bathurst ,2.73,2.82,3.7,5100 Yonge Street ,250 Beecroft Road ,40 Tournament Drive ,0.35,0.81,1.81,5120 Yonge Street ,5120 Yonge Street ,5120 Yonge Street ,0.44,0.44,0.44,5400 Yonge St ,53 The Links Road  ,77 Finch Avenue West ,1.07,1.7,1.7,130-5 Park Home Avenue ,5 Park Home Avenue Unit  ,130 Park Home Ave ,0.45,0.45,0.75,5095 Yonge St ,2 Shppard Av E ,2901 Bayview Ave ,0.37,0.46,2,4861 Yonge Street ,5095 Yonge Street ,3401 Dufferin Street ,0.37,0.38,5.4,4901 Yonge Street ,4901 Yonge Street ,4950 Yonge St  ,0.22,0.22,0.19,-79.410051,43.765513,243,36,https://www.zolo.ca/toronto-real-estate/35-hollywood-avenue/1023
"605,000", 33 Sheppard Avenue E,1+1,1,600-699,"Mar 08, 2021",2021-03-01 00:00:00.0,2021-03-08 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Willowdale East,588000.00,1,1,1,5,2.0,Toronto C14,Spring Garden Market,Rabba Fine Foods,Loblaws - Empress Walk,The Beer Store,Wine Rack,LCBO,Subway,Shoeless Joe's,Cafe Mirage,McDonald's,Second Cup,Starbucks,Alterna Savings,RBC Royal Bank,BMO Bank of Montreal,Bathurst And Wilson ESSO,Petro-Canada,SHELL - Bathurst Street Toronto,Mel Lastman Square,Dempsey Park,Tournament Park,Toronto Public Library - North York Central Library Pop Up Location,Toronto Public Library - North York Central Library - Pop Up Branch,Toronto Public Library - Pop-Up Branch at North York Central Library,Spinal Relief Centre of Canada,Toronto Cosmetic Clinic,Toronto North Animal Hospital,North York City Centre Pharmacy,Trillium Specialty Pharmacy,Rexall Pharma Plus,Sheppard Centre Management Office,Riocan Empress Walk Inc,Bayview Village,Cineplex Odeon Sheppard Cinemas,Empress Walk,Cineplex Cinemas Yorkdale,Shoeless Joe's,Boston Pizza,The Frog,63 Spring Garden Avenue ,12 Harrison Garden Boulevard ,5095 Yonge Street ,0.37,0.38,0.91,SheppardSheppard  Willowdale ,20 Church Avenue ,2901 Bayview Avenue Unit  ,0.8,1.47,2.01,33 Shppard Av E ,43 Sheppard Avenue East ,4841 Yonge St  ,0.05,0.05,0.18,4808 Yonge Street ,5095 Yonge Street ,5140 Yonge St ,0.22,0.83,0.84,4900 Yonge Street ,5001 Yonge Street ,5140 Yonge Street ,0.35,0.57,0.88,3750 Bathurst ,3351 Bayview Avenue ,4926 Bathur St ,3.35,3.73,2.99,5100 Yonge Street ,250 Beecroft Road ,40 Tournament Drive ,0.79,1.22,1.34,5120 Yonge Street ,5120 Yonge Street ,5120 Yonge Street ,0.87,0.87,0.87,53 The Links Road  ,5400 Yonge St ,317 Shppard Av E ,1.22,1.56,1.48,5 Park Home Avenue Unit  ,130-5 Park Home Avenue ,288 Sheppard Avenue East ,0.92,0.92,0.95,2 Shppard Av E ,5095 Yonge St ,2901 Bayview Ave ,0.16,0.85,2.06,4861 Yonge Street ,5095 Yonge Street ,3401 Dufferin Street ,0.18,0.86,5.08,43 Sheppard Avenue East ,4841 Yonge St  ,4854 Yonge Street ,0.05,0.19,0.27,-79.409218,43.761645,243,38,https://www.zolo.ca/toronto-real-estate/33-sheppard-avenue-east/2007
