sold_price,address,bedNum,bathNum,sqarefootage,soldOn,List Date,Sold Date,Type,Style,Area,Municipality,Community,List Price,Bedrooms,Bathrooms,Kitchens,Rooms,Parking Total,Municipality District,Groceries #1 name,Groceries #2 name,Groceries #3 name,Liquor Store #1 name,Liquor Store #2 name,Liquor Store #3 name,Restaurants #1 name,Restaurants #2 name,Restaurants #3 name,Coffee #1 name,Coffee #2 name,Coffee #3 name,Bank #1 name,Bank #2 name,Bank #3 name,Gas Station #1 name,Gas Station #2 name,Gas Station #3 name,Park #1 name,Park #2 name,Park #3 name,Library #1 name,Library #2 name,Library #3 name,Medical Care #1 name,Medical Care #2 name,Medical Care #3 name,Pharmacy #1 name,Pharmacy #2 name,Pharmacy #3 name,Mall #1 name,Mall #2 name,Mall #3 name,Movie Theatre #1 name,Movie Theatre #2 name,Movie Theatre #3 name,Bar #1 name,Bar #2 name,Bar #3 name,Groceries #1 address,Groceries #2 address,Groceries #3 address,Groceries #1 distance,Groceries #2 distance,Groceries #3 distance,Liquor Store #1 address,Liquor Store #2 address,Liquor Store #3 address,Liquor Store #1 distance,Liquor Store #2 distance,Liquor Store #3 distance,Restaurants #1 address,Restaurants #2 address,Restaurants #3 address,Restaurants #1 distance,Restaurants #2 distance,Restaurants #3 distance,Coffee #1 address,Coffee #2 address,Coffee #3 address,Coffee #1 distance,Coffee #2 distance,Coffee #3 distance,Bank #1 address,Bank #2 address,Bank #3 address,Bank #1 distance,Bank #2 distance,Bank #3 distance,Gas Station #1 address,Gas Station #2 address,Gas Station #3 address,Gas Station #1 distance,Gas Station #2 distance,Gas Station #3 distance,Park #1 address,Park #2 address,Park #3 address,Park #1 distance,Park #2 distance,Park #3 distance,Library #1 address,Library #2 address,Library #3 address,Library #1 distance,Library #2 distance,Library #3 distance,Medical Care #1 address,Medical Care #2 address,Medical Care #3 address,Medical Care #1 distance,Medical Care #2 distance,Medical Care #3 distance,Pharmacy #1 address,Pharmacy #2 address,Pharmacy #3 address,Pharmacy #1 distance,Pharmacy #2 distance,Pharmacy #3 distance,Mall #1 address,Mall #2 address,Mall #3 address,Mall #1 distance,Mall #2 distance,Mall #3 distance,Movie Theatre #1 address,Movie Theatre #2 address,Movie Theatre #3 address,Movie Theatre #1 distance,Movie Theatre #2 distance,Movie Theatre #3 distance,Bar #1 address,Bar #2 address,Bar #3 address,Bar #1 distance,Bar #2 distance,Bar #3 distance,longitude,latitude,pageNum,iterationNum,weblink
"850,000", 38 Dan Leckie Way,1+1,2,800-899,"Mar 22, 2021",2021-03-19 00:00:00.0,2021-03-22 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Waterfront Communities C1,725000.00,1,2,1,4,1.0,Toronto C01,Harbour Green Farms,Sobeys Urban Fresh Spadina,Fresh & Wild,LCBO,Wine Rack,The Beer Store,Gui Rei Japanese Restaurant,Jubilee Queen,Hunters Landing,Starbucks,Brassaii,Fresh & Wild,RBC Royal Bank,Scotiabank,Royal Bank Building,King St Esso,Transfer Stations,Leslieville Pumps,Canoe Landing,Ireland Park,Little Norway Park,TIFF Bell Lightbox,Royal Canadian Military Institute,City Hall Library,Infinity Health Centre,Emkiro Health Services | Toronto's Landmark for Healthcare™ | 📲 emkiro.ca,Toronto Western Hospital,Loblaws,Shoppers Drug Mart,Toronto Western Hospital,Chinatown Centre,Kensington Market,Toronto-Dominion Centre,Toronto International Film Festival,Princess of Wales Theatre,Scotiabank Theatre Toronto,Marben,C Lounge,Eddison's,650 Queens Quay W ,22 Fort York Boulevard ,69 Spadina Avenue ,0.18,0.49,0.98,415 King Street West ,746 King Street West ,350 Queens Quay West ,0.95,0.89,0.75,600 Queens Quay W ,539 Queens Quay West ,82 Fort York Boulevard ,0.1,0.18,0.32,625 King Street West ,461 King St W ,69 Spadina Avenue ,0.79,0.88,0.98,434-436 King Street West ,40 King Street West ,8 King Street East ,0.98,1.99,2.12,952 King St W ,400 Commissioners St ,929 Queen Street East ,1.23,5.11,5.3,95 Fort York Blvd ,QueensQueens Quay West ,659 Queens Quay West ,0.23,0.25,0.32,350 King Street West ,426 University Avenue  ,100 Queen Street West ,1.22,2.02,2.1,39 Lower Simcoe Street ,70 University Avenue  ,399 Bathur St ,1.29,1.52,1.91,585 Queen Street West ,901 King Street West ,399 Bathur St ,1.13,1.16,1.91,222 Spadina Avenue ,KensingtonKensington Ave ,66 ellington St W ,1.51,1.9,1.77,350 King Street West ,300 King St W ,259 Richmond Street West ,1.18,1.3,1.37,488 Wellington Street West ,456 ellington St W ,456 Wellington Street West ,0.66,0.72,0.73,-79.398274,43.63764,140,26,https://www.zolo.ca/toronto-real-estate/38-dan-leckie-way/2301
"670,000", 231 Fort York Boulevard,1+1,1,600-699,"Mar 22, 2021",2021-03-19 00:00:00.0,2021-03-22 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Waterfront Communities C1,659900.00,1,1,1,6,1.0,Toronto C01,Harbour Green Farms,Loblaws,Sobeys Urban Fresh Spadina,Wine Rack,LCBO,Bellwoods Brewery,Edulis Restaurant,Old York Bar Grill,Foggy Dew Irish Pub,Starbucks,Dufflet Pastries - Downtown,Dark Horse Espresso Bar,RBC Royal Bank,Scotiabank,Royal Bank Building,King St Esso,Canadian Tire Gas TOR,Petrocanada,Coronation Park,The Toronto Inukshuk Park,Little Norway Park,TIFF Bell Lightbox,Royal Canadian Military Institute,Toronto Public Library - City Hall Library,Centre for Addiction and Mental Health,Toronto Western Hospital,Infinity Health Centre,Shoppers Drug Mart,Loblaws,Toronto Western Hospital,Chinatown Centre,Kensington Market,Toronto-Dominion Centre,Ontario Place Corporation,Toronto International Film Festival,Scotiabank Theatre Toronto,Old York Bar Grill,Foggy Dew Irish Pub,Beast Restaurant,650 Queens Quay W ,585 Queen Street West ,22 Fort York Boulevard ,0.64,1.22,1.08,746 King Street West ,415 King Street West ,124 Ossington Ave ,0.79,1.36,1.59,169 Niagara Street ,167 Niagara Street ,803 King Street West ,0.58,0.59,0.69,625 King Street West ,787 Queen Street West ,684 Queen Street West ,0.91,1.07,1.09,434-436 King Street West ,40 King Street West ,8 King Street East ,1.4,2.57,2.7,952 King St W ,403 Keele Street ,90 The Queensway  ,0.74,5.72,5.27,711 Lake Shore Boulevard West ,789 Lake Shore Boulevard West ,659 Queens Quay West ,0.28,0.54,0.71,350 King Street West ,426 University Avenue ,100 Queen Street West ,1.71,2.42,2.58,1001 Queen St W ,399 Bathur St ,39 Lower Simcoe Street ,1.23,1.87,1.93,901 King Street West ,585 Queen Street West ,399 Bathur St ,0.7,1.22,1.87,222 Spadina Avenue ,KensingtonKensington Ave ,66 ellington St W ,1.72,2.01,2.36,955 Lake Shore Boulevard West ,350 King Street West ,259 Richmond Street West ,1.08,1.66,1.8,167 Niagara Street ,803 King Street West ,96 Tecumseth Street ,0.59,0.69,0.82,-79.406626,43.636548,140,28,https://www.zolo.ca/toronto-real-estate/231-fort-york-boulevard/2507
"640,000", 778 Sheppard Avenue W,2,2,800-899,"Mar 22, 2021",2021-03-19 00:00:00.0,2021-03-22 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Bathurst Manor,538000.00,2,2,1,5,1.0,Toronto C06,Metro,Metro (Metro),Healthy Planet - Health Food Store,Wine Kitz,Dionysus Wines,Vin Bon Wine Emporium,Aragvi Restaurant,Orly Restaurant & Grill,Wolfie's Delicatessen Specialties,Starbucks,Tim Hortons,Imperial Coffee And Services Inc,Bank of Nova Scotia,BATHURST & SHEPPARD,RBC Royal Bank,SHELL - Shell Sheppard Ave West,Petro-Canada,Bathurst And Wilson ESSO,Clanton Park,Earl Bales Park,Antibes Park,Centennial Library,Toronto Public Library - Centennial Library,Toronto Public Library - Centennial Branch,Vital CPR - First Aid Training,CML HealthCare Inc.,Codsell Medical Clinic,Shoppers Drug Mart,Medical Pharmacy,Medicine Shoppe Pharmacy The,Yorkdale Shopping Centre Management Office,Yorkdale Shopping Centre,Yorkdale,Cineplex Cinemas Yorkdale,Cineplex,SilverCity Yorkdale Cinemas,Boston Pizza,PAESE Ristorante,St Louis Bar & Grill,600 Sheppard Avenue West ,600 Sheppard Avenue West ,588 Sheppard Ave West ,0.71,0.71,0.76,429 Wilson Avenue ,173 Finch Av W ,950 Wilson Avenue ,2.08,2.93,3.19,832 Sheppard Avenue West ,660 Sheppard Ave W ,670 Sheppard Avenue West ,0.26,0.48,0.49,626 Sheppard Avenue West ,901 Sheppard Avenue West ,12 Kodiak Crescent ,0.68,0.73,1.43,628 Sheppard Avenue West ,4401 Bathurst Street ,4401 Bathurst Street ,0.66,0.85,0.85,908 Sheppard Ave W ,901 Sheppard Avenue West ,3750 Bathurst ,0.72,0.73,2.16,10 Palm Drive ,4169 Bathurst Street ,109 Antibes Drive ,1.23,1.3,2.84,578 Finch Avenue West ,578 Finch Avenue West ,578 Finch Avenue West  ,2.14,2.15,2.15,638 Sheppard Avenue West  ,4430 Bathurst St  ,1 Codsell Ave ,0.63,0.83,0.89,598 Sheppard Ave W ,4430 Bathurst Street ,4256 Bathurst Street ,0.77,0.83,0.91,1 Yorkdale Road  ,3401 Dufferin St ,3401 Dufferin Street ,3.05,3.11,3.16,3401 Dufferin Street ,3401 Dufferin Street ,3401 Dufferin St ,2.97,2.97,3.01,180 Rimrock Rd ,3827 Bathurst Street ,4548 Dufferin Street ,1.46,1.93,2.18,-79.448384,43.753583,140,30,https://www.zolo.ca/toronto-real-estate/778-sheppard-avenue-west/302
"635,000", 25 Bamburgh Circle,3+1,2,1400-1599,"Mar 22, 2021",2021-03-19 00:00:00.0,2021-03-22 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Steeles,649900.00,3,2,1,7,2.0,Toronto E05,FooDY Mart,Foodymart,T&T Supermarket,LCBO,Beer Store The,The Beer Store,Pho 88,Pho 88 Vietnamese Restaurant,McDonald's,Green Grotto Tea Room,Tim Hortons,Cafe Green Tea Inc,Bank of Montreal-Institute for Learning,The Police Credit Union,HSBC Bank,Petro-Canada,Shell Gas Sation,Shell,Warden Park,Shawnee Park,Markham Golf Dome,Toronto Public Library - Steeles Branch,Toronto Public Library - Steeles Library,Steeles Library,MCI The Doctor's Office,Smart Health Medical Centre,"The Scarborough Hospital, Birchmount site",Finch-Warden Pharmacy,Drugstore Pharmacy,Shoppers Drug Mart,Metro Square Mall,Bridlewood Mall,J-Town,SilverCity Fairview Mall Cinemas,Cineplex Cinemas Fairview Mall,Cineplex Cinemas,Izakaya Ju Japanese Restaurant,Ten23,The Owl & Firkin,355 Bamburgh Circle ,355 Bamburgh Circle ,7070 Warden Ave ,0.26,0.28,0.76,2946 Finch E ,FinchFinch E  Victoria Park ,3078 Don Mills Rd ,2.4,2.53,3.92,325 Bamburgh Circle ,325 Bamburgh Cir ,395 Bamburgh Cir ,0.21,0.21,0.21,7030 Warden Avenue d ,3500 Stls Av E ,3160 Steeles Avenue East ,0.6,1.06,1.51,3550 Pharmacy Ave ,3650 Victoria Park Ave ,3640 Victoria Park Avenue ,0.81,1.32,1.4,3700 Steeles Avenue East ,3381 Kennedy Road ,3381 Kennedy Rd ,0.47,1.72,1.76,2851 Warden Avenue ,81 Shawnee Circle ,150 Burncrest Rd ,1.34,2.3,3.4,375 Bamburgh Circle C ,375 Bamburgh Circle C ,375 Bamburgh Circle C ,0.26,0.29,0.29,325 Bamburgh Cir ,4080 Steeles Avenue East ,3030 Birchmount Road ,0.23,1.26,2.02,3430 Finch E ,681 Silver Star Boulevard ,2794 Victoria Park Ave ,2.21,2.33,3.11,3636 Steeles Avenue East ,2900 Warden Ave ,3160 Stls Av E ,0.54,1.99,1.51,1800 Sheppard Ave E y ,1800 Sheppard Avenue East Y ,1800 Sheppard Avenue East Unit Y ,4.33,4.36,4.36,3160 Steeles Avenue East ,3100 Steeles Avenue East  ,7181 Woodbine Avenue ,1.51,1.7,1.9,-79.325518,43.815491,140,32,https://www.zolo.ca/toronto-real-estate/25-bamburgh-circle/1133
"545,000", 215 Fort York Boulevard,1,1,0-499,"Mar 22, 2021",2021-03-19 00:00:00.0,2021-03-22 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Niagara,499000.00,1,1,1,4,0.0,Toronto C01,Harbour Green Farms,Loblaws,Sobeys Urban Fresh Spadina,Wine Rack,LCBO,The Beer Store,Edulis Restaurant,Old York Bar Grill,Scarpetta,Starbucks,Dufflet Pastries - Downtown,Dark Horse Espresso Bar,RBC Royal Bank,Scotiabank,Royal Bank Building,King St Esso,Canadian Tire Gas TOR,Petrocanada,Coronation Park,The Toronto Inukshuk Park,Little Norway Park,TIFF Bell Lightbox,Royal Canadian Military Institute,Toronto Public Library - City Hall Library,Centre for Addiction and Mental Health,Toronto Western Hospital,Infinity Health Centre,Shoppers Drug Mart,Loblaws,Toronto Western Hospital,Chinatown Centre,Kensington Market,Toronto-Dominion Centre,Ontario Place Corporation,Toronto International Film Festival,Scotiabank Theatre Toronto,Old York Bar Grill,Thompson Toronto,Foggy Dew Irish Pub,650 Queens Quay W ,585 Queen Street West ,22 Fort York Boulevard ,0.48,1.2,0.95,746 King Street West ,415 King Street West ,350 Queens Quay West ,0.8,1.27,1.27,169 Niagara Street ,167 Niagara Street ,550 Wellington Street West ,0.62,0.63,0.74,625 King Street West ,787 Queen Street West ,684 Queen Street West ,0.87,1.12,1.14,434-436 King Street West ,40 King Street West ,8 King Street East ,1.31,2.44,2.58,952 King St W ,403 Keele Street ,90 The Queensway ,0.86,5.86,5.43,711 Lake Shore Boulevard West ,789 Lake Shore Boulevard West ,659 Queens Quay West ,0.3,0.61,0.55,350 King Street West ,426 University Avenue ,100 Queen Street West ,1.61,2.34,2.49,1001 Queen St W ,399 Bathur St ,39 Lower Simcoe Street ,1.37,1.89,1.79,901 King Street West ,585 Queen Street West ,399 Bathur St ,0.81,1.2,1.89,222 Spadina Avenue ,KensingtonKensington Ave ,66 ellington St W ,1.69,2,2.23,955 Lake Shore Boulevard West ,350 King Street West ,259 Richmond Street West ,1.16,1.55,1.71,167 Niagara Street ,550 ellington St W ,803 King Street West ,0.63,0.74,0.75,-79.404566,43.636227,140,34,https://www.zolo.ca/toronto-real-estate/215-fort-york-boulevard/714
"2,955,000",365 Princess Avenue,5+2,7,3500-5000,"Mar 22, 2021",2021-03-18 00:00:00.0,2021-03-22 00:00:00.0,Detached,2-Storey,Toronto,Toronto,Willowdale East,2998000.00,5,7,1,11,6.0,Toronto C14,Your Good Health Store,Loblaws Supermarkets,Honey Bear,LCBO Toronto-North York,LCBO,The Beer Store,IL FORNELLO Restaurant,IL FORNELLO Restaurant - Bayview Village,Kabuki Japanese Restaurant,Oliver & Bonacini Cafe Grill,Second Cup,McDonald's,CIBC,CIBC Branch & ATM,CIBC Branch with ATM,Petro-Canada,Canadian Tire Gas+ - TOR - Sheppard/Leslie,Shell,Parkview Park,Bayview Village Park,Mel Lastman Square,Bayview Library,Toronto Public Library - Bayview Library,Toronto Public Library - Bayview Branch,Primacy - North York Family Physicians After Hours Clinic,Toronto North Animal Hospital,Travel Clinic-Dr Mark Wise,Metro Pharmacy,Rexall Pharma Plus,St. Gabriel IDA Pharmacy,Bayview Village,Bayview Village Shopping Centre,Riocan Empress Walk Inc,Empress Walk,Cineplex Odeon Sheppard Cinemas,CF Fairview Mall,IL FORNELLO Restaurant - Bayview Village,Origin North,Shoeless Joe's,BayviewBayview Village ,2877 Bayview Village ,249 Sheppard Avenue East ,0.54,0.6,0.9,2901 Bayview Ave ,2901 Bayview Avenue  ,SheppardSheppard  Willowdale ,0.76,0.77,1.06,2901 Bayview Ave ,2901 Bayview Ave ,2901 Bayview Ave ,0.51,0.51,0.52,2901 Bayview Ave ,5095 Yonge Street ,4808 Yonge Street ,0.72,1.61,1.84,2901 Bayview Ave ,5255 Yonge St ,5255 Yonge Street ,0.73,1.6,1.6,3351 Bayview Avenue ,1015 Sheppard Avenue East  ,4021 Yonge St ,2.28,1.67,3.35,355 Parkview Avenue ,2945 Bayview Avenue ,5100 Yonge Street ,0.27,0.46,1.71,2901 Bayview Avenue ,2901 Bayview Avenue ,2901 Bayview Avenue ,0.78,0.79,0.79,2901 Bayview Avenue ,317 Shppard Av E ,3292 Bayview Ave ,0.59,0.76,1.93,500 Shppard Av E ,288 Sheppard Avenue East ,650 Shppard Av E ,0.76,0.95,1.08,2901 Bayview Ave ,2901 Bayview Avenue ,5095 Yonge St ,0.73,0.74,1.6,5095 Yonge Street ,4861 Yonge Street ,1800 Sheppard Avenue East ,1.57,1.78,3.94,2901 Bayview Avenue ,2901 Bayview Avenue ,43 Sheppard Avenue East ,0.51,0.82,1.75,-79.393337,43.772554,140,36,https://www.zolo.ca/toronto-real-estate/365-princess-avenue
"1,558,000",10 Salinas Court,5+2,4,2000-2500,"Mar 22, 2021",2021-03-18 00:00:00.0,2021-03-22 00:00:00.0,Detached,2-Storey,Toronto,Toronto,Briar Hill-Belgravia,1199000.00,5,4,2,9,6.0,Toronto W04,Toronto Latino,Pancha's nofrills,Jason's No Frills,The Beer Store,Beer Store,Wine Rack,Sky Ranch Restaurant,California Sandwiches,Thai Shan Inn,McDonald's,DAIRY QUEEN BRAZIER,Tim Hortons,TD Canada Trust Branch and ATM,CIBC Branch & ATM,CIBC Branch (Cash at ATM only),Shell,Shell Canada,Petro-Canada,Fairbank Memorial Park,Cedarvale Park,Earlscourt Park,Toronto Public Library - Maria A. Shchuka Library,Toronto Public Library,Evelyn Gregory Library,Blue Water Imaging,Bluewater Imaging - Head Office,herbalife independent distributor,Rexall,Sobeys Pharmacy Rosebury,Shoppers Drug Mart,Lawrence Square Shopping Centre,Marshalls Lawrence Square,Westside Mall,SilverCity Yorkdale,SilverCity Yorkdale Cinemas,Cineplex,Chalkers Pub Billiards Bistro,Chalkers Pub,Chalkers,1786 Eglinton Avenue West ,1951 Eglinton Ave W ,1951 Eglinton Avenue West ,0.46,0.68,0.68,529 Oakwood Ave ,529 Oakwood Avenue ,700 Lawrence Avenue West ,0.97,0.97,1.84,2473 Dufferin St ,2474 Dufferin Street ,2404 Dufferin St ,0.21,0.26,0.4,1807 Eglinton Ave W ,2957 Dufferin Street ,815 Caledonia Road ,0.49,1.33,1.22,1416 Eglinton Avenue West ,364 Oakwood Avenue ,364 Oakwood Avenue ,0.83,1.68,1.69,2291 Keele St ,1610 Keele St ,385 Weston Road ,2.24,2.7,3.03,2213 Dufferin St ,443 Arlington Ave ,1200 Lansdowne Avenue ,0.95,1.93,2.94,1745 Eglinton Avenue West ,341 Oakwood Avenue ,120 Trowell Avenue ,0.48,1.75,2.44,2010 Eglinton Avenue West ,2010 Eglinton Avenue West ,62 Ennerdale Road ,0.79,0.8,1.32,249 Marlee Avenue ,145 Marlee Avenue ,3089 Dufferin Street ,0.81,0.77,1.73,700 Larence Ave W ,700 Lawrence Avenue West ,2400 Eglinton Avenue West ,1.82,1.85,1.63,3401 Dufferin ,3401 Dufferin St ,3401 Dufferin Street ,2.88,2.95,2.98,247 Marlee Avenue ,247 Marlee Ave ,247 Marlee Avenue ,0.81,0.83,0.83,-79.449046,43.70021,140,38,https://www.zolo.ca/toronto-real-estate/10-salinas-court
"1,482,000",162 Aldercrest Road,4+1,4,2000-2500,"Mar 22, 2021",2021-03-18 00:00:00.0,2021-03-22 00:00:00.0,Semi-Detached,2-Storey,Toronto,Toronto,Alderwood,1298800.00,4,4,1,9,3.0,Toronto W06,"Jeff, Rose & Herb's No Frills",nofrills,No Frills,Rosehill Wine Cellars Inc.,Beer Store,Beer Store The,Silk Road Restaurant,Front Door Organics Inc,Liba's Bar & Grill Inc,Fairgrounds Roastery Cafe,Fair Grounds Organic Café & Roastery,Fair Grounds Organic Cafè & Roastery,RBC Royal Bank,3609 LAKESHORE BOULEVARD W,CIBC Branch & ATM,Race Trac Gas,Petro-Canada,Husky,Marie Curtis Park,Toronto Golf Club,Colonel Samuel Smith Park,Carr McLean Limited,Toronto Public Library - Alderwood Branch,Toronto Public Library - Alderwood Library,Meditech Rehabilitation Centre,Enhanced Care Medical Clinic - Etobicoke,Enhanced Care Medical Clinic - Etobicoke Walk-in Family Doctor Clinic,Rexall Pharma Plus,Rexall,Walmart,CF Sherway Gardens,Sherway Gardens,Kipling Queensway Mall Dental,Cineplex Cinemas Queensway & VIP,Cineplex Cinemas Queensway,Cineplex Odeon Queensway Cinemas,Rose And Thorne Restaurant,Pulcinella Ristorante Italiano,Southside Johnny's Bar and Grill,3730 Lake Shore Boulevard West ,3730 Lake Shore Boulevard West ,3730 Lake Shore Boulevard West ,1.09,1.09,1.1,339 Olivewood Rd ,1077 North Service Road ,1079 North Service ,3.73,3.21,3.32,438 Horner Ave ,415 Horner Ave ,448 Browns Line ,0.15,0.18,0.46,3785 Lake Shore Blvd W ,3785 Lake Shore Boulevard West ,3785 Lake Shore Boulevard West ,1.28,1.29,1.29,3609 Lake Shore Boulevard West ,3609 Lake Shore Boulevard West ,1582 The Queensway  ,1.19,1.2,1.55,1417 Lakeshore Road East ,1160 S Service Rd ,999 N Service Rd ,2.18,2.96,3.37,2 Forty Second Street ,1305 Dixie Road ,3145 Lake Shore Boulevard West ,1.9,2.16,2.56,461 Horner Av ,2 Orianna Drive ,2 Orianna Drive ,0.26,0.61,0.61,411 Horner Ave  ,3857 Lake Shore Boulevard West ,3857 Lake Shore Boulevard West ,0.27,1.58,1.58,440 Browns Line ,3701 Lake Shore Blvd W ,165 North Queen Street ,0.47,1.22,1.96,25 The West Mall ,25 The West Mall ,1255 The Queensway ,1.61,1.63,2.26,1025 The Queensway ,1025 The Queensway ,1025 The Queensway ,2.76,2.76,2.78,264 Browns Line ,3687 Lake Shore Blvd W ,3653 Lake Shore Blvd W ,0.67,1.2,1.2,-79.540298,43.604011,140,40,https://www.zolo.ca/toronto-real-estate/162-aldercrest-road
"1,350,000",99 Aspenwood Drive,4,3,n/a,"Mar 22, 2021",2021-03-18 00:00:00.0,2021-03-22 00:00:00.0,Detached,2-Storey,Toronto,Toronto,Hillcrest Village,1100000.00,4,3,1,8,3.0,Toronto C15,The Source,Food Basics,Galati Market Fresh,The Beer Store,Beer Store The,Beer Store,Tim Hortons,Wimpy's Diner,Montana's Cookhouse,Leslie Cafe,Tasty Delight,Tasty Delight 新斗餐房,Bank of Nova Scotia,Scotiabank,TD Bank Financial Group,Esso,Steeles And Laureleaf ESSO,Petro Canada,Duncan Creek Park,Cummer Park Community Centre,Cummer Park,Toronto Public Library - Hillcrest Branch,Toronto Public Library - Hillcrest Library,Hillcrest Library,Colon Cancer Canada,Treat Smart,Nutritionist Thornhill Wellness By Diet,I.D.A.,Shoppers Drug Mart,Finch-Leslie Pharmacy,The Shops on Steeles and 404,Sears MARKHAM SHOPS ON STEELES,J-Town,SilverCity Fairview Mall Cinemas,Cineplex Cinemas,Cineplex Cinemas Fairview Mall,Montana's,Firkin Group Of Pubs,The Owl,3887 Don Mills ,2900 Stls Av E ,5845 Leslie ,0.59,0.83,1.23,3078 Don Mills Rd ,FinchFinch E  Victoria Park ,2934 Finch Avenue East ,2.6,3.12,3.14,2890 Steeles Avenue East ,2900 Steeles Avenue East ,2910 Steeles Avenue East ,0.53,0.56,0.7,149 Ravel Road ,143 Ravel Road ,143 Ravel Road ,1.82,1.89,1.9,2900 Steeles Avenue East ,2900 Steeles Avenue East ,5875 Leslie  Dexter Blvd ,0.73,0.79,1.04,1500 Finch Avenue East ,1505 Stls Av E ,3075 Don Mills Road ,1.84,1.71,2.46,3700 Don Mills Road ,6000 Leslie Street ,6000 Leslie Street ,0.22,1.03,1.04,5801 Leslie Street ,5801 Leslie Street ,5801 Leslie Street ,1.27,1.27,1.27,5915 Leslie Street ,70 Castlebury Crescent ,87 Babcombe Drive ,1.18,1.43,1.71,3885 Don Mills Road ,5899 Leslie Street ,149 Ravel Road ,0.63,1.15,1.81,SteelesSteeles Ave E  Don Mills Rd ,2900 Stls Av E ,3160 Stls Av E ,0.47,0.68,1.82,1800 Sheppard Ave E y ,1800 Sheppard Avenue East Unit Y ,1800 Sheppard Avenue East Y ,3.63,3.65,3.65,2910 Stls Av E ,20 Steelcase Rd W ,7181 Woodbine Avenue ,0.7,1.55,1.69,-79.364192,43.807829,140,42,https://www.zolo.ca/toronto-real-estate/99-aspenwood-drive
"1,175,000",21 Dalecrest Drive,4,2,n/a,"Mar 22, 2021",2021-03-18 00:00:00.0,2021-03-22 00:00:00.0,Detached,1 1/2 Storey,Toronto,Toronto,O'Connor-Parkview,899800.00,4,2,1,7,3.0,Toronto E03,Tom's No Frills,Tom's Nofrills,General Nutrition Centre,Eurovintage International Inc,Beer Store The,LCBO,4C Broast Chicken,Harvey's,Swiss Chalet Rotisserie & Grill,McDonald's,Tim Hortons,Starbucks,RBC Royal Bank,BMO Bank of Montreal,Scotiabank,Fas Gas Plus,Esso,Shell,Taylor Creek Park,Dentonia Park Golf Course,Warden Woods,Toronto Public Library - Dawes Road Library,Counterpoint Music Library Svc,Toronto Public Library,Golden Mile walk-in Clinic,Providence Healthcare,Michael Garron Hospital,Victoria Park Pharmacy,Shoppers Drug Mart,Golden Mile walk-in Clinic,Eglinton Square,Eglinton Square Mall,Eglinton Square Shopping Centre,Poetic Stone Weddings,Cineplex,Cineplex Odeon,Swiss Chalet Rotisserie & Grill,Rally Sports Bar & Smokehouse,Rally Restaurant and Bar,1150 Victoria Park Avenue ,1150 Victoria Park Ave ,65 Eglinton Square ,0.95,0.96,1.78,1315 Lawrnc Av E ,3431 Saint Clair Avenue East ,45 Overlea Boulevard ,3.78,2.91,3.04,1093 OConnor Drive ,1100 OConnor Drive ,1400 OConnor Dr ,0.19,0.27,0.44,3150 Saint Clair Avenue East ,1900 OConnor Dr ,978 Coxwell Avenue ,0.98,1.63,2.21,803 OConnor Drive ,627 Pharmacy Avenue ,1880 Eglinton Avenue East  ,0.44,1.4,2.06,747 Pharmacy Avenue ,1725 Eglinton Avenue East ,521 OConnor Drive ,1.52,1.96,2.16,260 Dawes Road ,781 Victoria Park Avenue ,74 Fir Valley Ct ,1.07,2.14,2.1,416 Dawes Road ,42 Frater Avenue ,170 Memorial Park Avenue ,1.21,2.16,2.54,1880 Eglinton Avenue East  ,3276 Saint Clair Avenue East ,825 Coxwell Avenue ,2.03,1.88,2.48,1314 Victoria Park ,1 Eglinton Square ,1880 Eglinton Avenue East  ,0.97,1.81,2.03,1 Eglinton Square ,1 Eglinton Square ,20 Eglinton Square ,1.75,1.75,1.8,416 Pharmacy Avenue ,22 Lebovic Avenue ,22 Lebovic Ave ,1.7,1.97,1.97,1400 OConnor Drive ,1660 OConnor Dr ,1660 OConnor Drive ,0.55,0.98,0.99,-79.307798,43.708785,140,44,https://www.zolo.ca/toronto-real-estate/21-dalecrest-drive
