sold_price,address,bedNum,bathNum,sqarefootage,soldOn,List Date,Sold Date,Type,Style,Area,Municipality,Community,List Price,Bedrooms,Bathrooms,Kitchens,Rooms,Parking Total,Municipality District,Groceries #1 name,Groceries #2 name,Groceries #3 name,Liquor Store #1 name,Liquor Store #2 name,Liquor Store #3 name,Restaurants #1 name,Restaurants #2 name,Restaurants #3 name,Coffee #1 name,Coffee #2 name,Coffee #3 name,Bank #1 name,Bank #2 name,Bank #3 name,Gas Station #1 name,Gas Station #2 name,Gas Station #3 name,Park #1 name,Park #2 name,Park #3 name,Library #1 name,Library #2 name,Library #3 name,Medical Care #1 name,Medical Care #2 name,Medical Care #3 name,Pharmacy #1 name,Pharmacy #2 name,Pharmacy #3 name,Mall #1 name,Mall #2 name,Mall #3 name,Movie Theatre #1 name,Movie Theatre #2 name,Movie Theatre #3 name,Bar #1 name,Bar #2 name,Bar #3 name,Groceries #1 address,Groceries #2 address,Groceries #3 address,Groceries #1 distance,Groceries #2 distance,Groceries #3 distance,Liquor Store #1 address,Liquor Store #2 address,Liquor Store #3 address,Liquor Store #1 distance,Liquor Store #2 distance,Liquor Store #3 distance,Restaurants #1 address,Restaurants #2 address,Restaurants #3 address,Restaurants #1 distance,Restaurants #2 distance,Restaurants #3 distance,Coffee #1 address,Coffee #2 address,Coffee #3 address,Coffee #1 distance,Coffee #2 distance,Coffee #3 distance,Bank #1 address,Bank #2 address,Bank #3 address,Bank #1 distance,Bank #2 distance,Bank #3 distance,Gas Station #1 address,Gas Station #2 address,Gas Station #3 address,Gas Station #1 distance,Gas Station #2 distance,Gas Station #3 distance,Park #1 address,Park #2 address,Park #3 address,Park #1 distance,Park #2 distance,Park #3 distance,Library #1 address,Library #2 address,Library #3 address,Library #1 distance,Library #2 distance,Library #3 distance,Medical Care #1 address,Medical Care #2 address,Medical Care #3 address,Medical Care #1 distance,Medical Care #2 distance,Medical Care #3 distance,Pharmacy #1 address,Pharmacy #2 address,Pharmacy #3 address,Pharmacy #1 distance,Pharmacy #2 distance,Pharmacy #3 distance,Mall #1 address,Mall #2 address,Mall #3 address,Mall #1 distance,Mall #2 distance,Mall #3 distance,Movie Theatre #1 address,Movie Theatre #2 address,Movie Theatre #3 address,Movie Theatre #1 distance,Movie Theatre #2 distance,Movie Theatre #3 distance,Bar #1 address,Bar #2 address,Bar #3 address,Bar #1 distance,Bar #2 distance,Bar #3 distance,longitude,latitude,pageNum,iterationNum,weblink
"620,000", 1030 King Street W,1+1,1,500-599,"Feb 08, 2021",2021-02-01 00:00:00.0,2021-02-08 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Waterfront Communities C1,599000.00,1,1,1,5,0.0,Toronto C01,Loblaws,Metro,Harbour Green Farms,Bellwoods Brewery,Wine Rack,LCBO,Politica Resto Bar,Fresh,Fresh on Crawford,Nadège Patisserie,Nadege ice cream shop,Balzac's Coffee - Liberty Village,RBC Royal Bank,BLOOR & DOVERCOURT,Scotiabank,King St Esso,Canadian Tire Gas TOR,Petrocanada,Trinity Bellwoods Park,Allan Lamport Stadium Park,The Toronto Inukshuk Park,TIFF Bell Lightbox,Toronto Public Library - Bloor/Gladstone Library,Bloor/Gladstone Library,Centre for Addiction and Mental Health,Toronto Western Hospital,"THE MEDICAL PRACTICE , WALK-IN & FAMILY PRACTICE CLINIC",Shoppers Drug Mart,Loblaws,Toronto Western Hospital,Kensington Market,Chinatown Centre,Dufferin Mall,Ontario Place Corporation,The Royal,Cineforum,Politica Resto Bar,Williams Landing,Brazen Head Irish Pub,585 Queen Street West ,735 College St ,650 Queens Quay W ,1.18,1.48,1.42,124 Ossington Ave ,746 King Street West ,900 Dufferin Street Unit  ,0.77,0.79,2.41,127 Strachan Avenue ,894 Queen Street West ,894 Queen Street West ,0.25,0.39,0.39,780 Queen Street West ,780 Queen Street West ,43 Hanna Avenue  ,0.52,0.53,0.54,434-436 King Street West ,972 Bloor Street West ,40 King Street West ,1.66,2.5,2.91,952 King St W ,403 Keele Street ,90 The Queensway ,0.19,4.89,4.67,790 Queen Street West ,1151 King Street West ,789 Lake Shore Boulevard West ,0.72,0.79,1.09,350 King Street West ,1101 Bloor Street West ,1101 Bloor St W ,2.02,2.58,2.59,1001 Queen St W ,399 Bathur St ,799 Bloor Street West rd floor ,0.4,1.48,2.41,901 King Street West ,585 Queen Street West ,399 Bathur St ,0.26,1.18,1.48,KensingtonKensington Ave ,222 Spadina Avenue ,900 Dufferin St ,1.79,1.68,2.36,955 Lake Shore Boulevard West ,608 College St ,463 Bathurst Street ,1.47,1.51,1.66,127 Strachan Avenue ,120 Lynn Williams St ,165 East Liberty Street ,0.25,0.39,0.43,-79.416456,43.641311,408,60,https://www.zolo.ca/toronto-real-estate/1030-king-street-west/633
"618,100", 300 Front Street W,1,1,500-599,"Feb 08, 2021",2021-02-01 00:00:00.0,2021-02-08 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Waterfront Communities C1,628000.00,1,1,1,4,0.0,Toronto C01,Fresh & Wild,Sobeys Urban Fresh Spadina,Rabba's Fine Foods,Steam Whistle Brewing,The Beer Store,Wine Rack,Fionn MacCool's,360 Restaurant at the CN Tower,Victor Restaurant & Bar,Fresh & Wild,The Strathcona Hotel,Brassaii,RBC Royal Bank,Scotiabank,Royal Bank Building,Esso,King St Esso,Shell,Clarence Square,Clarence Square Park,Roundhouse Park,TIFF Bell Lightbox,Royal Canadian Military Institute,Toronto Public Library - City Hall Library,Emkiro Health Services | Toronto's Landmark for Healthcare™ | 📲 emkiro.ca,Infinity Health Centre,The Hospital for Sick Children,Loblaws,Toronto Western Hospital,Shoppers Drug Mart,Toronto-Dominion Centre,Chinatown Centre,Toronto Eaton Centre,Toronto International Film Festival,Princess of Wales Theatre,Scotiabank Theatre Toronto,Boston Pizza,Toronto Marriott City Centre Hotel,Victor Restaurant,69 Spadina Avenue ,22 Fort York Boulevard ,252 Queens Quay W ,0.48,0.55,0.63,255 Bremner Boulevard ,350 Queens Quay West ,746 King Street West ,0.48,0.62,1.25,310 Front Street West ,301 Front St W ,30 Mercer Street ,0.07,0.18,0.21,69 Spadina Avenue ,60 York Street ,461 King St W ,0.48,0.56,0.57,434-436 King Street West ,40 King Street West ,8 King Street East ,0.44,0.96,1.1,553 Lake Shore Boulevard West ,952 King St W ,1077 Yonge Street ,1.21,1.83,3.9,25 Clarence Square ,25 Clarence Square ,255 Bremner Blvd ,0.33,0.35,0.47,350 King Street West ,426 University Avenue ,100 Queen Street West ,0.29,1.1,1.09,70 University Avenue  ,39 Lower Simcoe Street ,555 University Avenue ,0.49,0.52,1.46,585 Queen Street West ,399 Bathur St ,901 King Street West ,1.05,1.7,1.76,66 ellington St W ,222 Spadina Avenue ,220 Yonge St ,0.75,1.02,1.32,350 King Street West ,300 King St W ,259 Richmond Street West ,0.3,0.33,0.51,250 Front Street West C ,1 Blue Jays Way ,30 Mercer Street ,0.06,0.19,0.24,-79.389342,43.643985,408,62,https://www.zolo.ca/toronto-real-estate/300-front-street-west/1202
"580,000", 5 Soudan Avenue,1+1,1,500-599,"Feb 08, 2021",2021-02-01 00:00:00.0,2021-02-08 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Mount Pleasant West,599990.00,1,1,1,3,0.0,Toronto C10,Metro,Noah's Natural Foods,Sobeys Urban Fresh Mount Pleasant,Wine Rack,LCBO,Amsterdam Brewery,Zucca Trattoria,C'est Bon Chinese Restaurant,The Keg Steakhouse & Bar - Yonge & Eglinton,La Bamboche,Thobors,Jules Café Patisserie,Duca Financial Services Credit Union,YONGE & SHERWOOD,Scotiabank,Esso,Petro-Canada,Shell - Bayview Avenue E. York,Oriole Park,Eglinton Park,June Rowlands Park,Toronto Public Library - Northern District Branch,Toronto Public Library - Northern District Library,Mount Pleasant Branch Library,Gamma-Dynacare Medical Laboratories,Yonge Davisville Footcare Centre,Avenue & Eglinton X-Ray And Ultrasound,Shoppers Drug Mart,Mount Pleasant Pharmacy,Forest Hill Pharmasave Pharmacy,Yonge Eglinton Centre,Rio Can Yonge Eglinton Ctr,RioCan Yonge Eglinton Centre,Famous Players Canada Square Cinemas,Cineplex Cinemas Yonge-Eglinton and VIP (formerly SilverCity),Cineplex,Zucca Trattoria,Hillsdale Bar and Grill,Fin Izakaya,2300 Yonge St ,2395 Yonge Street ,710 Mount Pleasant Road ,0.37,0.64,0.65,81 Saint Clair Avenue East ,1838 Avenue Road ,45 Esandar Drive ,1.82,3.47,3.26,2150 Yonge Street ,2140 Yonge Street ,2201 Yonge Street ,0.1,0.11,0.16,4 Manor Road East ,627 Mount Pleasant Road ,617 Mount Pleasant Road ,0.22,0.7,0.72,245 Eglinton Avenue ,2559 Yonge Street ,1 Saint Clair Avenue East ,0.73,1.05,1.86,381 Mount Pleasant Road ,2908 Yonge Street ,1800 Bayview Ave ,1.09,1.98,1.8,201 Oriole Parkway ,200 Eglinton Ave W ,220 Davisville Avenue ,0.81,0.81,0.84,40 Orchard View Boulevard ,40 Orchard View Boulevard ,599 Mount Pleasant Road ,0.49,0.49,0.73,1849 Yonge ,1849 Yonge Street  ,491 Eglinton Av W ,0.84,0.84,1.27,2345 Yonge Street ,245 Eglinton Avenue East ,491 Eglinton Av W ,0.71,0.74,1.27,2300 Yonge Street ,2300 Yonge St ,2300 Yonge Street co  Eglinton Avenue West ,0.31,0.31,0.34,2200 Yonge Street ,2300 Yonge Street ,2300 Yonge Street ,0.21,0.34,0.34,2150 Yonge Street ,2112 Yonge Street ,55 Eglinton Avenue East ,0.1,0.18,0.3,-79.397263,43.704477,408,64,https://www.zolo.ca/toronto-real-estate/5-soudan-avenue/2905
"577,500", 20 Tubman Avenue,1+1,1,500-599,"Feb 08, 2021",2021-02-01 00:00:00.0,2021-02-08 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Regent Park,575000.00,1,1,1,5,0.0,Toronto C08,A Taste Of Quebec,Rocco's No Frills,Food Basics,Wine Rack,Steam Whistle Brewing,LCBO,Paintbox Catering & Bistro,Dominion Pub and Kitchen,Dominion On Queen Restaurant Bar & Lounge,Paintbox Catering & Bistro,Merchants Of Green Coffee,Dark Horse Espresso Bar,CIBC Branch,CIBC Branch & ATM,BROADVIEW & DANFORTH,Leslieville Pumps,Lake Shore & Carlaw Esso,Transfer Stations,Underpass Park,Anniversary Park,Corktown Common,Ryerson University Library & Archives,Ryerson University Library,Gerstein Centre,Bridgepoint Active Healthcare,Bridgepoint Health,Bridgepoint Family Health Team,Shoppers Drug Mart,Marshall's Drug Store,Loblaws,Toronto Eaton Centre,CF Toronto Eaton Centre,Gerrard Square Shopping Centre,Imagine Cinemas Market Square,Ed Mirvish Theatre,Elgin and Winter Garden Theatre Centre,Dominion Pub and Kitchen,Magic Oven,358 Queen East Club,55 Mill ,200 Front Street East ,238 Wllsly St E ,1.12,1.19,1.28,17 Leslie Street  ,255 Bremner Boulevard ,10 Scrivener Square ,2.51,3.01,3.34,555 Dundas Street East ,500 Qun St E ,500 Queen Street East ,0.27,0.42,0.42,555 Dundas Street East ,2 Matilda St ,630 Queen Street East ,0.27,0.46,0.6,245 Carlton Street ,245 Carlton Street ,739 Broadview Avenue ,0.78,0.78,1.66,929 Queen Street East ,829 Lake Shore Boulevard East ,400 Commissioners St ,1.51,1.89,2.02,33 Saint Lawrence Street ,410 Parliament Street ,175 Ferguson Ave South ,0.69,0.65,0.85,350 Victoria Street ,350 Victoria Street ,100 Charles Street East ,1.72,1.72,2,14 St Matthews Rd ,14 Saint Matthews Road ,430 Broadview Ave ,0.66,0.79,0.85,1012 Pape Avenue ,412 Summerhill Avenue ,17 Leslie St ,3.25,3.13,2.52,220 Yonge St ,220 Yonge Street ,1000 Gerrard Street East ,1.82,1.84,1.9,80 Front Street East ,244 Victoria Street ,189 Yonge St ,1.66,1.7,1.79,500 Qun St E ,360 Queen Street East ,358 Queen Street East ,0.42,0.65,0.65,-79.4163,43.70011,408,66,https://www.zolo.ca/toronto-real-estate/20-tubman-avenue/511
"540,000", 29 Singer Court,1+1,1,500-599,"Feb 08, 2021",2021-02-01 00:00:00.0,2021-02-08 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Bayview Village,498000.00,1,1,1,5,1.0,Toronto C15,M&M Meat Shops,Nutrition House Fairview Mall,Loblaws,LCBO,LCBO Toronto-North York,The Beer Store,IKEA Restaurant,Peking Man Restaurant,"Hearty Catering Inc,",Tim Hortons,Second Cup,Starbucks,Bank of Montreal,BMO Bank Of Montreal,RBC Royal Bank,Canadian Tire Gas+ - TOR - Sheppard/Leslie,Shell,Esso,Clarinda Park,Kirkwood Park,Mossgrove Park,Toronto Public Library - Bayview Library,Toronto Public Library - Bayview Branch,Bayview Library,Walkrite Foot Clinic,Main Drug Mart,Main Drug Mart Home Health Care Centre,Main Drug Mart Home Health Care Centre,IDA Main Drug Mart Compounding Pharmacy,Main Drug Mart,Bayview Village Shopping Centre,Bayview Village,Peanut Plaza,CF Fairview Mall,Cineplex Cinemas,Cineplex Cinemas Fairview Mall,The Keg Steakhouse & Bar - Leslie,The Keg Steakhouse + Bar - Leslie Street,The Keg,734 Sheppard Avenue East ,SheppardSheppard Av E ,2877 Bayview Avenue ,0.6,0.89,1.36,2901 Bayview Avenue  ,2901 Bayview Ave ,3078 Don Mills Rd ,1.26,1.28,2.29,15 Provost Drive ,1108 Shppard Av E ,1255 Sheppard Avenue East ,0.16,0.25,0.3,4751 Leslie Street ,1881 Leslie Street ,2901 Bayview Avenue ,0.36,1.53,1.21,57 Provost Drive ,4797 Leslie Street ,27 Rean Drive ,0.13,1.13,1.13,1015 Sheppard Avenue East  ,730 Sheppard Avenue East ,4751 Leslie Street ,0.34,0.63,1.1,1240 Sheppard avenue ,25 Kirkwood Road ,57 Mossgrove Trail ,0.61,1.62,1.79,2901 Bayview Avenue ,2901 Bayview Avenue ,2901 Bayview Avenue ,1.3,1.3,1.3,1110 Shppard Av E ,1100 Shppard Av E ,1100 Shppard Av E ,0.22,0.24,0.25,1100 Sheppard Avenue East ,1333 Sheppard Avenue East ,1333 Sheppard Avenue East ,0.25,0.62,0.65,2901 Bayview Avenue ,2901 Bayview Ave ,3030 Don Mills Road ,1.34,1.35,2.27,1800 Sheppard Avenue East ,1800 Sheppard Avenue East Unit Y ,1800 Sheppard Avenue East Y ,2.14,2.25,2.25,1977 Leslie Street ,1977 Leslie Street ,1977 Leslie Street ,1.29,1.31,1.31,-79.368798,43.769094,409,22,https://www.zolo.ca/toronto-real-estate/29-singer-court/2512
"530,000", 155 Marlee Avenue,2,1,1000-1199,"Feb 08, 2021",2021-02-01 00:00:00.0,2021-02-08 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Briar Hill-Belgravia,549990.00,2,1,1,4,1.0,Toronto W04,Sobeys,Sobeys Urban Fresh Rosebury Square,Toronto Latino,The Beer Store,Beer Store,Wine Rack,Chalkers Pub Billiards Bistro,Chalkers,Chalkers Sports Bar and Grill,McDonald's,Baskin Robbins,DAIRY QUEEN BRAZIER,TD Canada Trust Branch and ATM,RBC Royal Bank,EGLINTON & BATHURST,Bathurst And Wilson ESSO,Shell,Shell Canada,Fairbank Memorial Park,Cedarvale Park,Wychwood Barns Park,Toronto Public Library - Maria A. Shchuka Library,Toronto Public Library,Barbara Frum Library,CML HealthCare Laboratory Services,Blue Water Imaging,Bluewater Imaging - Head Office,Rexall,Sobeys Pharmacy Rosebury,Rexall Pharma Plus,Lawrence Square Shopping Centre,Marshalls Lawrence Square,Lawrence Plaza,SilverCity Yorkdale Cinemas,Cineplex Cinemas Yorkdale,SilverCity Yorkdale,Chalkers Pub,Chalkers Pub Billiards Bistro,Chalkers,145 Marlee Avenue ,145 Marlee Avenue ,1786 Eglinton Avenue West ,0.12,0.11,1.11,529 Oakwood Ave ,529 Oakwood Avenue ,700 Lawrence Avenue West ,1.21,1.21,1.42,247 Marlee Avenue ,247 Marlee Avenue ,247 Marlee Avenue ,0.12,0.13,0.14,1807 Eglinton Ave W ,1018 Eglinton Avenue West ,2957 Dufferin Street ,1.15,1.06,1.25,1416 Eglinton Avenue West ,880 Eglinton Ave W ,880 Eglinton Avenue West ,0.73,1.27,1.27,3750 Bathurst ,2291 Keele St ,1610 Keele St ,3.69,2.83,3.47,2213 Dufferin St ,443 Arlington Ave ,76 Wychwood Ave ,1.51,1.83,3.1,1745 Eglinton Avenue West ,341 Oakwood Avenue ,20 Covington Rd ,1.05,2.02,1.94,2797 Bathurst St  ,2010 Eglinton Avenue West ,2010 Eglinton Avenue West ,1.42,1.55,1.57,249 Marlee Avenue ,145 Marlee Avenue ,901 Eglinton Avenue West ,0.12,0.13,1.26,700 Larence Ave W ,700 Lawrence Avenue West ,534 Larence Ave W ,1.39,1.43,1.83,3401 Dufferin St ,3401 Dufferin Street ,3401 Dufferin ,2.58,2.59,2.59,247 Marlee Ave ,247 Marlee Avenue ,247 Marlee Avenue ,0.13,0.12,0.13,-79.441561,43.704634,409,24,https://www.zolo.ca/toronto-real-estate/155-marlee-avenue/205
"505,000", 2901 Kipling Avenue,2,2,1000-1199,"Feb 08, 2021",2021-02-01 00:00:00.0,2021-02-08 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Mount Olive-Silverstone-Jamestown,519900.00,2,2,1,5,1.0,Toronto W10,Uthayas Supermarket Ltd,Rabba Fine Foods,Danforth Food Market,Beer Store,The Beer Store,Beer Store The,BBQ City Grill House,Nantha Caters,Lucky Star Restaurant,McDonald's,Club Coffee,Ice Cream Shop,TD Canada Trust,TD Canada Trust Branch and ATM,National Bank,Petrocanada,Petro-Canada,Husky,North Humber Park,Kay Park,Thackeray Park Cricket Ground,Toronto Public Library - Humber Summit Library - Closed for Renovation,Toronto Public Library - Humber Summit Library,Toronto Public Library - Humber Summit Branch,SONYA HEALTH MART & CHIROPRACTIC INC,Albion Finch Medical Center,Appletree Medical Centre,Shih Pharmacy,I.D.A.,Rowntree Gate Pharmacy,Yazzoopa,Martin Grove Mall,The Albion Mall,Albion Cinema,Colossus Vaughan Cinemas,Cineplex Cinemas Vaughan,Yo Amo Tacos Bar 'n Grill,Sharks Sports Pub,Caribbean Heat 2,5010 Steeles Ave W ,2687 Kipling ,301 Silverstone Drive ,0.23,0.85,1.15,1530 Albion Road ,1530 Albion Rd ,7676 Islington ,1.74,1.74,2.33,2700 Kipling Avenue ,5010 Steeles Avenue West ,2687 Kipling Ave ,0.16,0.4,0.84,25 Carrier Drive ,55 Carrier Dr ,140 Woodbridge Ave ,2.63,2.7,3.07,2700 Kipling Avenue ,2700 Kipling Avenue ,2200 Martin Grove Rd ,0.12,0.17,1.16,5000 Steeles Ave W ,5000 Steeles Avenue West ,6199 Steeles Avenue West ,0.22,0.24,1.33,2901 Kipling Avenue ,32 Cathy Jean Crescent ,2955 Kipling Avenue ,0.13,0.32,0.48,2990 Islington Avenue ,2990 Islington Avenue ,2990 Islington Avenue ,1.36,1.36,1.38,2200 Martin Grove Road  ,1620 Albion Road ,1770 Albion Road  ,1.16,1.81,2.11,2700 Kipling Ave ,2687 Kipling Ave  ,2687 Kipling Avenue ,0.07,0.85,0.9,311-41 Markbrook Lane ,2200 Martin Grove Road ,1530 Albion Road ,0.15,1.18,1.87,1530 Albion Rd ,3555 Hy  W ,3555 Highway  West ,1.89,4.97,4.98,7034 Islington Avenue ,7007 Islington Ave ,1530 Albion Road  ,1.22,1.35,1.91,-79.588474,43.758201,409,28,https://www.zolo.ca/toronto-real-estate/2901-kipling-avenue/910
"453,000", 5800 Sheppard Avenue E,1+1,1,800-899,"Feb 08, 2021",2021-02-01 00:00:00.0,2021-02-08 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Malvern,388000.00,1,1,1,5,1.0,Toronto E11,New Spiceland,Food Basics,Rubini East & West Indian Grocery,Beer Store,Beer Store The,The Beer Store,Barrio Fiesta,Paulines Roti Pelau Shop,Barrio Fiesta Restaurant,Solo Cup Canada,Dark City Coffee Company,Tim Hortons,TD Bank Financial Group,TD Canada Trust,TD Canada Trust Branch and ATM,Markham & Sheppard ESSO,Petro-Canada,Shell,Neilson Park - Scarborough,Neilson Park,Metro Golf Dome,Burrows Hall Library,Toronto Public Library - Burrows Hall Library,Centennial College Library,Malvern Medical Centre,Malvern Sleep Clinic,Scarborough Women's Centre,Shoppers Drug Mart,Rexall,Rexall Pharma Plus,Malvern Town Centre,SmartCentres Scarborough East,Walmart Morningside Scarborough Supercentre,Cineplex Odeon Corporation,Cineplex Odeon Morningside Cinemas,Cineplex Odeon,The Keg,The Keg Steakhouse & Bar - Estate Drive,Tapp's Bar & Grill,5790 Sheppard Avenue East ,5085 Shppard Av E ,31 Tapscott Rd ,0.07,0.85,1.3,2866 Ellesmere Road ,CentenaryCentenary Plaza ,1001 Sandhurst Circle ,2.48,2.52,3.02,19 Lapsley Rd ,15 Lapsley Rd ,19 Lapsley Road ,0.29,0.3,0.35,2121 Markham Road ,410 Mclevin Avenue ,4820 Sheppard Avenue East ,1.58,1.74,1.7,49 Lapsly Rd  Shppard E ,49 Lapsley Road ,49 Lapsley Road ,0.27,0.38,0.39,1641 Markham Rd ,1525 Markham Road ,1201 Markham Road ,0.66,0.83,2.1,1555 Neilson Rd ,1555 Neilson Rd ,125 Milner Avenue ,2.04,2.04,1.75,1081 Progress Avenue ,1081 Progress Avenue ,941 Progress Ave ,0.35,0.35,1.21,1333 Neilson Road ,1371 Neilson Road Suite  ,2100 Ellesmere Rd  ,1.66,1.71,2.16,31 Tapscott Road ,1371 Neilson Road ,1371 Neilson Road ,1.3,1.65,1.7,31 Tapscott Road ,799 Milner Avenue ,799 Milner Ave ,1.39,2.34,2.53,785 Milner ,785 Milner Avenue ,785 Milner Avenue ,2.16,2.16,2.2,60 Estate Drive ,60 Estate Drive ,5630 Finch Av E ,1.51,1.52,2.13,-79.231094,43.795766,409,30,https://www.zolo.ca/toronto-real-estate/5800-sheppard-avenue-east/220
"365,000", 5 Massey Square,1,1,700-799,"Feb 08, 2021",2021-02-01 00:00:00.0,2021-02-08 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Crescent Town,374900.00,1,1,1,4,1.0,Toronto E03,Bulk Barn,M&M Food Market,Metro,The Beer Store,Beer Store The,Beer Store,Makkah Restaurant,Hakka Chopsticks,Wing Wing Restaurant,McDonald's,Savoury Grounds Coffee Co Ltd,Starbucks,DANFORTH & DAWES,BMO Bank of Montreal,RBC Royal Bank,Danforth Gas & Wash,Fas Gas Plus,Shell,Dentonia Park Golf Course,Prairie Drive Park,Warden Woods,Toronto Public Library,Toronto Public Library - Dawes Road Library,"Toronto Public Library, Main Street Branch",Versa Care Centre,Providence Healthcare,Fallingbrook Wellness Inc.,Remedy's Rx,Victoria Park Pharmacy,Danforth Pharmacy,Shoppers World,Helical Piles East York,Eglinton Square,Poetic Stone Weddings,Fox Theatre,Cineplex,West Scarborough Neighbourhood Community Centre,The Feathers Pub,Gabby's Kingston Road,3003 Danforth Avenue ,3003 Danforth Avenue Unit  ,3003 Danforth Avenue ,0.69,0.78,0.76,3130 Danforth Avenue ,3431 Saint Clair Avenue East ,3431 Saint Clair Avenue East ,0.71,2.56,2.56,2980 Danforth Avenue ,2940 Danforth Avenue ,3032 Danforth Avenue ,0.64,0.66,0.64,3150 Saint Clair Avenue East ,959 Kingston Road ,1020 Kingston Road ,1.48,1.81,1.82,2780 Danforth Avenue ,627 Pharmacy Avenue ,936 Kingston Road ,0.81,1.61,1.78,3561 Danforth Avenue ,747 Pharmacy Avenue ,577 Birchmount Rd ,1.55,2.4,2.68,781 Victoria Park Avenue ,70 Prairie Drive ,74 Fir Valley Ct ,0.34,0.72,1.24,416 Dawes Road ,416 Dawes Road ,137 Main Street ,0.63,0.64,1.51,77 Main Street ,3276 Saint Clair Avenue East ,1204 Kingston Road ,1.67,1.89,1.89,105 Firvalley Court ,1314 Victoria Park ,3502 Danforth Av ,1.46,2.02,1.55,3003 Danforth Avenue ,3003 Danforth Avenue  ,1 Eglinton Square ,0.74,0.85,3.13,416 Pharmacy Avenue ,2236 Queen Street East ,22 Lebovic Avenue ,0.88,2.64,2.89,313 Pharmacy ,962 Kingston Road ,980 Kingston Road ,0.73,1.79,1.8,-79.292923,43.696136,409,32,https://www.zolo.ca/toronto-real-estate/5-massey-square/706
"1,150,000",2 Riverstone Drive,3+1,3,n/a,"Feb 08, 2021",2021-01-31 00:00:00.0,2021-02-08 00:00:00.0,Detached,2-Storey,Toronto,Toronto,Humber Heights,1199000.00,3,3,1,7,6.0,Toronto W09,Metro (Metro),Betterliving Canada,Better Living - Health Supplements Stores Toronto,LCBO,Beer Store,The Beer Store,Gardenia House Chinese Food,Sun Crisp Fish & Chips,Popeyes Louisiana Kitchen,Second Cup,Starbucks Coffee Company,Baskin Robbins,Royal Bank - Weston & Lawrence,WESTON & LAWRENCE,BMO,Race Trac Gas,Royal York Husky,Husky,Buttonwood Park,Scarlett Heights Park,Weston Golf & Country Club,Toronto Public Library - Weston Branch,Weston Library,Toronto Public Library - Weston Library,Life labs,Weston Road Medical Clinic,Humber River Hospital,Shoppers Drug Mart,Drug Town Pharmacy,La Rose Pharmacy,North York Sheridan Mall,Sport Displays,Richview Square,Kingsway Cafe,Kingsway Theatre,Humber Cinemas,Grabba Pizza Restaurant & Bar,The Irish Rose Pub,Wild Wing,1500 Royal York Road ,1500 Royal York Road ,1500 Royal York Rd ,1,1,1.01,2625DD Weston Rd  ,2625-AA Weston Road ,2625-AA Weston Road ,1.74,1.88,1.88,712 Scarlett Road ,2047 Weston ,1975 Weston Road ,0.34,0.38,0.41,25 King Street ,130 King Street ,1500 Royal York Road ,0.49,1,1.08,1906 Weston Road ,1906 Weston Road ,1500 Royal York Road ,0.48,0.48,1.08,1745 Weston Road ,1498 Royal York Road ,1498 Royal York Road ,0.89,1.09,1.09,30 Mulham Pl ,24 Fontenay Court ,  ,1.83,1.92,1.57,2 King Street ,2 King St ,2 King Street ,0.4,0.4,0.4,1436 Royal York Road ,2549 Weston Rd ,200 Church Street ,1.46,1.45,1.55,1995 Weston Rd ,1500 Royal York Road ,140 La Rose Ave ,0.39,1.08,1.48,1700 Wilson Ave ,28 Edinborough Court ,250 Wincott Dr ,2.67,2.98,2.81,3030 Bloor Street West ,3030 Bloor Street West ,2442 Bloor St W ,5.73,5.73,6.22,1677 Wilson Avenue ,1095 Weston Road ,2561 Saint Clair Avenue West ,2.37,3.09,4.46,-79.522115,43.698325,409,34,https://www.zolo.ca/toronto-real-estate/2-riverstone-drive
