sold_price,address,bedNum,bathNum,sqarefootage,soldOn,List Date,Sold Date,Type,Style,Area,Municipality,Community,List Price,Bedrooms,Bathrooms,Kitchens,Rooms,Parking Total,Municipality District,Groceries #1 name,Groceries #2 name,Groceries #3 name,Liquor Store #1 name,Liquor Store #2 name,Liquor Store #3 name,Restaurants #1 name,Restaurants #2 name,Restaurants #3 name,Coffee #1 name,Coffee #2 name,Coffee #3 name,Bank #1 name,Bank #2 name,Bank #3 name,Gas Station #1 name,Gas Station #2 name,Gas Station #3 name,Park #1 name,Park #2 name,Park #3 name,Library #1 name,Library #2 name,Library #3 name,Medical Care #1 name,Medical Care #2 name,Medical Care #3 name,Pharmacy #1 name,Pharmacy #2 name,Pharmacy #3 name,Mall #1 name,Mall #2 name,Mall #3 name,Movie Theatre #1 name,Movie Theatre #2 name,Movie Theatre #3 name,Bar #1 name,Bar #2 name,Bar #3 name,Groceries #1 address,Groceries #2 address,Groceries #3 address,Groceries #1 distance,Groceries #2 distance,Groceries #3 distance,Liquor Store #1 address,Liquor Store #2 address,Liquor Store #3 address,Liquor Store #1 distance,Liquor Store #2 distance,Liquor Store #3 distance,Restaurants #1 address,Restaurants #2 address,Restaurants #3 address,Restaurants #1 distance,Restaurants #2 distance,Restaurants #3 distance,Coffee #1 address,Coffee #2 address,Coffee #3 address,Coffee #1 distance,Coffee #2 distance,Coffee #3 distance,Bank #1 address,Bank #2 address,Bank #3 address,Bank #1 distance,Bank #2 distance,Bank #3 distance,Gas Station #1 address,Gas Station #2 address,Gas Station #3 address,Gas Station #1 distance,Gas Station #2 distance,Gas Station #3 distance,Park #1 address,Park #2 address,Park #3 address,Park #1 distance,Park #2 distance,Park #3 distance,Library #1 address,Library #2 address,Library #3 address,Library #1 distance,Library #2 distance,Library #3 distance,Medical Care #1 address,Medical Care #2 address,Medical Care #3 address,Medical Care #1 distance,Medical Care #2 distance,Medical Care #3 distance,Pharmacy #1 address,Pharmacy #2 address,Pharmacy #3 address,Pharmacy #1 distance,Pharmacy #2 distance,Pharmacy #3 distance,Mall #1 address,Mall #2 address,Mall #3 address,Mall #1 distance,Mall #2 distance,Mall #3 distance,Movie Theatre #1 address,Movie Theatre #2 address,Movie Theatre #3 address,Movie Theatre #1 distance,Movie Theatre #2 distance,Movie Theatre #3 distance,Bar #1 address,Bar #2 address,Bar #3 address,Bar #1 distance,Bar #2 distance,Bar #3 distance,longitude,latitude,pageNum,iterationNum,weblink
"715,000", 11 Superior Avenue,2,2,1000-1199,"Mar 12, 2021",2021-03-11 00:00:00.0,2021-03-12 00:00:00.0,Condo Townhouse,2-Storey,Toronto,Toronto,Mimico,649000.00,2,2,1,4,1.0,Toronto W06,Lakeshore Valu-Mart,Ontario Food Market,Ontario Food Terminal Board,Beer Store The,Beer Store,Woodman Wines & Spirits,Lakeshore Restaurant,2 or 3 Pizza & Wings,New Flower Drum Restaurant,Birds and Beans Cafe,Birds & Beans Coffee,Sanremo Bakery Inc,TD Canada Trust Branch and ATM,MARINA DEL REY,RBC Royal Bank,Esso,Shell,Petro-Canada,Humber Bay Park West,Humber Bay Butterfly Habitat,Humber Bay Park East,Toronto Public Library - Mimico Centennial Library,Toronto Public Library - Mimico Centennial Branch,Mimico Centennial Library,Gatehouse (The),Physioplus Health Group,CML Healthcare,Lakeshore valu-mart,DRUGStore Pharmacy,Kassel's Pharmacy,Kipling Queensway Mall Dental,WIND Mobile | Humber Town,Humbertown Shopping Centre,Cineplex Cinemas Queensway & VIP,Cineplex Cinemas Queensway,Cineplex Odeon Queensway Cinemas,Canadiana Restaurant,Canadiana Restaurant Dining Lounge,Blue Goose Tavern,2399 Lake Shore Blvd W ,LakeLake Shore Boulevard West ,165 the Queensway ,0.05,1.13,1.57,LakeshoreLakeshore W  Mimico ,2458 Lake Shore Boulevard West ,523 The Queensway ,0.17,0.21,1.53,2390 Lake Shore Boulevard West ,2382 Lake Shore Boulevard West ,2428 Lake Shore Blvd W ,0.03,0.06,0.09,2413 Lake Shore Blvd W ,2413 Lake Shore Boulevard West ,374 Royal York Road ,0.12,0.12,0.93,2472 Lake Shore Boulevard West ,2275 Lake Shore Boulevard West ,515 The Queensway ,0.24,0.56,1.51,2189 Lakeshore Blvd W ,680 The Queensway ,8 South Kingsway ,1.12,1.56,2.62,2225 Lake Shore Boulevard West ,HumberHumber Bay Park East ,100 Humber Bay Park Rd W ,0.94,1.47,1.47,47 Station Road ,47 Station Road ,47 Station Road ,0.4,0.4,0.42,3131 Lake Shore Blvd W ,2489 Bloor St W  ,3170 Lake Shore Boulevard West ,2.78,3.62,2.98,2399 Lake Shore Boulevard West ,220 Royal York Road ,396 Royal York ,0.06,0.72,0.99,1255 The Queensway ,270 Kingsway ,270 S Kingsway ,3.01,5.64,5.75,1025 The Queensway ,1025 The Queensway ,1025 The Queensway ,2.22,2.22,2.24,2454 Lake Shore Blvd W ,2454 Lake Shore Blvd W ,1 Blue Goose Street ,0.17,0.2,0.59,-79.488853,43.615066,209,30,https://www.zolo.ca/toronto-real-estate/11-superior-avenue/th5
"697,000", 15 Grenville Street,1,1,500-599,"Mar 12, 2021",2021-03-11 00:00:00.0,2021-03-12 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Bay Street Corridor,688800.00,1,1,1,4,0.0,Toronto C01,Pusateri Fruit,Rabba Fine Foods Stores,Pusateri's Fine Foods,LCBO,Steam Whistle Brewing,Wine Rack,Fran's,Courtyard Toronto Downtown,Fernando's Hideaway,7 West Cafe,Holts Café,Golden Mint Coffee & Tea Co,RBC,Bank of Nova Scotia,Manulife Financial,Shell,Esso,King St Esso,Allan Gardens,Village of Yorkville Park,Toronto Sculpture Garden,Canadian Music Centre,Ryerson University Library & Archives,Ryerson University Library,Women's College Hospital,The Hospital for Sick Children,Toronto General Hospital,Shoppers Drug Mart,Loblaws,Toronto Western Hospital,Canderel College Park,CF Toronto Eaton Centre,Toronto Eaton Centre,Imagine Cinemas Carlton Cinema,Panasonic Theatre,Ed Mirvish Theatre,Crews and Tangos,Crews & Tangos Restaurant & Bars,Crews & Tangos,497 Church ,40 Asquith ,57 Yorkville Avenue ,0.46,1.13,1.15,10 Scrivener Square ,255 Bremner Boulevard ,81 Saint Clair Avenue East ,2.16,2.33,3.04,20 College Street ,475 Yonge Street ,545 Yonge Street ,0.07,0.07,0.29,7 Charles Street West ,50 Bloor Street West ,911 Yonge ,0.76,1,1.5,2 Bloor Street East ,160 Bloor Street East ,200 Bloor Street East ,0.99,1.04,1.05,1077 Yonge Street ,553 Lake Shore Boulevard West ,952 King St W ,1.99,3.12,3.15,19 Horticultural Avenue ,115 Cumberland Street ,115 King St E ,0.76,1.08,1.57,20 Saint Joseph St ,350 Victoria Street ,350 Victoria Street ,0.51,0.49,0.52,76 Grenville Street ,555 University Avenue ,200 Elizabeth Street ,0.29,0.59,0.59,565 Sherbourne Street  ,585 Queen Street West ,399 Bathur St ,1.15,2.18,1.99,777 Bay St ,220 Yonge Street ,220 Yonge St ,0.1,0.88,0.93,20 Carlton Street ,651 Yonge Street ,244 Victoria Street ,0.2,0.69,0.83,508 Church Street ,508 Church Street ,508 Church Street ,0.38,0.39,0.39,-79.384412,43.661821,209,32,https://www.zolo.ca/toronto-real-estate/15-grenville-street/5007
"620,000", 121 Mcmahon Drive,1+1,1,600-699,"Mar 12, 2021",2021-03-11 00:00:00.0,2021-03-12 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Bayview Village,592800.00,1,1,1,5,1.0,Toronto C15,M&M Meat Shops,Nutrition House Fairview Mall,Loblaws,LCBO Toronto-North York,The Beer Store,Wine Rack,IKEA Restaurant,Peking Man Restaurant,Subway,Tim Hortons,Starbucks,Oliver & Bonacini Cafe Grill,Bank of Montreal,RBC Royal Bank,BMO Bank Of Montreal,Canadian Tire Gas+ - TOR - Sheppard/Leslie,Shell,Esso,Clarinda Park,Kirkwood Park,Mossgrove Park,Toronto Public Library - Bayview Library,Toronto Public Library - Bayview Branch,Bayview Library,Walkrite Foot Clinic,Main Drug Mart Home Health Care Centre,Main Drug Mart,Main Drug Mart Home Health Care Centre,Shoppers Simply Pharmacy,St. Gabriel IDA Pharmacy,Bayview Village Shopping Centre,Bayview Village,York Mills Shopping Centre,CF Fairview Mall,Cineplex Cinemas,Cineplex Cinemas Fairview Mall,The Keg Steakhouse & Bar - Leslie,The Keg Steakhouse + Bar - Leslie Street,The Keg,734 Sheppard Avenue East ,SheppardSheppard Av E ,2877 Bayview Avenue  ,0.45,1.15,1.18,2901 Bayview Ave ,3078 Don Mills Rd ,20 Church Avenue ,1.1,2.55,3.43,15 Provost Drive ,1108 Shppard Av E ,802 Sheppard Avenue East ,0.19,0.42,0.36,4751 Leslie Street ,2901 Bayview Avenue ,2901 Bayview Ave ,0.58,1.02,1.17,57 Provost Drive ,27 Rean Drive ,4797 Leslie Street ,0.16,0.92,1.36,1015 Sheppard Avenue East  ,730 Sheppard Avenue East ,4751 Leslie Street ,0.27,0.47,1.33,1240 Sheppard avenue ,25 Kirkwood Road ,57 Mossgrove Trail ,0.81,1.55,1.67,2901 Bayview Avenue ,2901 Bayview Avenue ,2901 Bayview Avenue ,1.11,1.11,1.11,1110 Shppard Av E ,1100 Shppard Av E ,1100 Shppard Av E ,0.39,0.41,0.42,1100 Sheppard Avenue East ,701 Sheppard Avenue East ,650 Shppard Av E ,0.41,0.52,0.79,2901 Bayview Avenue ,2901 Bayview Ave ,291 York Mills Rd ,1.15,1.16,2.51,1800 Sheppard Avenue East ,1800 Sheppard Avenue East Unit Y ,1800 Sheppard Avenue East Y ,2.4,2.51,2.51,1977 Leslie Street ,1977 Leslie Street  ,1977 Leslie Street ,1.26,1.28,1.29,-79.370623,43.767726,209,34,https://www.zolo.ca/toronto-real-estate/121-mcmahon-drive/1810
"590,000", 35 Fontenay Court,1+1,1,600-699,"Mar 12, 2021",2021-03-11 00:00:00.0,2021-03-12 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Edenbridge-Humber Valley,568000.00,1,1,1,6,1.0,Toronto W08,NOI AFRICAN SUPERMARKET,Food Basics,Metro (Metro),The Beer Store,Beer Store,LCBO,New Orleans Seafood & Steakhouse,Maye Restaurant & Cafe,Dairy Queen,DAIRY QUEEN LTD BRAZIER,Dairy Queen,Baskin Robbins,LA ROSE & GRIGGSDEN,Ukrainian Credit Union Limited,JANE & DALRYMPLE,Esso,"Bestway For Imports( Vw, Audi service)",Race Trac Gas,Scarlett Heights Park,Scarlett Woods Golf Course,Scarlett Mills Park,Toronto Public Library - Mount Dennis Library,Mount Dennis Library,Jane/Dundas Library,West Park Healthcare Centre,Life labs,Dundas Dental and Hygiene Clinic,La Rose Pharmacy,Shoppers Drug Mart,Royal York Pharmacy Inc,Sport Displays,Humbertown Shopping Centre,WIND Mobile | Humber Town,Kingsway Theatre,Kingsway Cafe,Humber Cinemas,The Irish Rose Pub,Wild Wing,Casa Barcelona!,1662 Weston Road ,853 Jane Street ,1500 Royal York Road ,1.64,1.46,1.95,3524 Dundas St W ,3524 Dundas Street West ,3520 Dundas Street West ,2.49,2.52,2.5,267 Scarlett Rd ,1562 Weston Road ,1591 Weston Road ,0.61,1.42,1.49,1591 Weston Road ,1591 Weston Road ,1500 Royal York Road ,1.49,1.49,2.02,140 La Rose Avenue ,135 La Rose ,901 Jane St ,0.9,1.01,1.23,280 Scarlett Rd ,1660 Weston Road ,1745 Weston Road ,0.17,1.6,1.8,24 Fontenay Court ,1000 Jane Street ,235 Edenbridge Drive ,0.12,0.58,0.93,1123 Weston Road ,1123 Weston Road ,620 Jane St ,1.87,1.87,2.43,82 Buttonwood Avenue ,1436 Royal York Road ,4154 Dundas Street West ,0.84,1.46,2.31,140 La Rose Ave ,1533 Jane Street ,1436 Royal York ,1.12,1.8,1.46,28 Edinborough Court ,270 S Kingsway ,270 Kingsway ,1.05,2.38,2.43,3030 Bloor Street West ,3030 Bloor Street West ,2442 Bloor St W ,3.88,3.89,4.21,1095 Weston Road ,2561 Saint Clair Avenue West ,2980 Bloor Street West ,1.91,2.52,3.8,-79.510542,43.682312,209,36,https://www.zolo.ca/toronto-real-estate/35-fontenay-court/401
"580,000", 111 Merton Street,1,1,500-599,"Mar 12, 2021",2021-03-11 00:00:00.0,2021-03-12 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Mount Pleasant West,499990.00,1,1,1,4,1.0,Toronto C10,Bruno's Fine Foods,Loblaws Supermarkets Limited,Sobeys Urban Fresh St. Clair,Wine Rack,LCBO,The Beer Store,Kramer's Bar & Grill,Red Lantern Pub,Malbec Restaurant,Tim Hortons,Tim Hortons and Cold Stone Creamery,La Bamboche,Scotiabank,Duca Financial Services Credit Union,TD Bank Financial Group,Esso,Shell,Shell - Bayview Avenue E. York,Yorkminster Park Baptist Church Park,June Rowlands Park,Oriole Park,Toronto Public Library - Deer Park Library,Toronto Public Library - Deer Park Branch,Deer Park Library,Yonge Davisville Footcare Centre,Gamma-Dynacare Medical Laboratories,Cupchik Will Dr,Shoppers Drug Mart,Mount Pleasant Pharmacy,St Clair & Avenue Compounding Pharmacy,Yonge Eglinton Centre,Rio Can Yonge Eglinton Ctr,RioCan Yonge Eglinton Centre,Regent Theatre,Mount Pleasant Theatre,Mount Pleasant,Bull & Firkin,The Bull: A Firkin Pub,Kramer's Bar & Grill,1560 Yonge St ,12 Saint Clair Avenue East ,81 Saint Clair Avenue East ,0.75,0.92,0.9,81 Saint Clair Avenue East ,10 Scrivener Square ,609 Roehampton Ave ,0.88,1.76,2.03,1915 Yonge Street ,228 Merton Street ,234 Merton Street ,0.35,0.33,0.35,1910 Yonge St ,381 Mount Pleasant Road ,4 Manor Road East ,0.37,0.59,0.73,1 Saint Clair Avenue East ,245 Eglinton Avenue ,SummerhillSummerhill Avenue ,0.96,1.34,1.57,381 Mount Pleasant Road ,1077 Yonge Street ,1800 Bayview Ave ,0.6,1.94,2.14,1585 Yonge St ,220 Davisville Avenue ,201 Oriole Parkway ,0.64,0.58,0.53,40 Saint Clair Avenue East ,40 Saint Clair Avenue East ,40 Saint Clair Avenue East ,0.88,0.88,0.88,1849 Yonge Street  ,1849 Yonge ,250 Saint Clair Avenue East ,0.24,0.25,1,2345 Yonge Street  ,245 Eglinton Avenue East ,200 St Clair Avenue West  ,km,1.34,1.34,2300 Yonge Street ,2300 Yonge St ,2300 Yonge Street co  Eglinton Avenue West ,1.25,1.24,1.27,551 Mount Pleasant Road ,675 Mount Pleasant Road ,675 Mount Pleasant Road ,0.85,1.08,1.09,1835 Yonge Street ,1835 Yonge Street ,1915 Yonge St ,0.23,0.23,0.35,-79.393206,43.696647,209,38,https://www.zolo.ca/toronto-real-estate/111-merton-street/ph03
"572,500", 19 Coneflower Crescent,2+1,1,700-799,"Mar 12, 2021",2021-03-11 00:00:00.0,2021-03-12 00:00:00.0,Condo Townhouse,3-Storey,Toronto,Toronto,Westminster-Branson,549900.00,2,1,1,6,1.0,Toronto C07,Highland Farms,Coppa's Fresh Market,Real Canadian Superstore,Dionysus Wines,LCBO,Beer Store,Ariake Japanese Restaurant,Tov-Li,Tov-Li North,Tim Hortons,Happy Bagel Bakery,David's Royal Tearoom,BATHURST & CEDARCROFT,RBC Royal Bank,CIBC Branch & ATM,Shell,SHELL - Bathurst Street Toronto,Esso,Antibes Park,G Ross Lord Park,Hendon Park,Toronto Public Library - Centennial Library,Toronto Public Library - Centennial Branch,Centennial Library,North York General Hospital,North York Foot Care Clinic,Branson Ambulatory Care Centre and the Urgent Care Centre,Shoppers Drug Mart,3M Drug Mart,Medical Pharmacy,Winners,Promenade Shopping Centre,The Promenade,Imagine Cinemas Promenade,Promenade,Imagine Cinemas,Belle Bar and Restaurant,St Louis Bar & Grill,St. Louis Bar & Grill,4750 Dufferin St ,4750 Dufferin St ,51 Gerry Fitzgerald Drive ,1.56,1.58,1.81,173 Finch Av W ,180 promenade Cir ,1118 Centre Street ,1.63,3.34,3.64,BathurstBathurst Street ,5982 Bathurst Street ,5982 Bathurst Street ,0.55,0.71,0.72,515 Drewry Ave ,4949 Bathurst Street ,458 Patricia Avenue ,0.63,0.79,0.88,5968 Bathurst Street ,5968 Bathurst Street ,4927 Bathurst Street ,0.74,0.78,0.83,4926 Bathurst Street ,4926 Bathur St ,4550 Dufferin Street ,0.79,0.9,1.75,109 Antibes Drive ,4801 Dufferin St ,50 Hendon Avenue ,0.21,0.81,2.41,578 Finch Avenue West ,578 Finch Avenue West ,578 Finch Avenue West ,0.6,0.6,0.61,555 Finch Avenue West ,104-5927 Bathurst Street ,555 Finch Avenue West ,0.69,0.58,0.76,6205 Bathurst Street ,7117 Bathurst Street  ,4430 Bathurst Street ,1.55,1.87,2.55,81 Gerry Fitzgerald Dr ,1 Promenade Circle ,1 Promenade Cir ,1.98,3.08,3.08,1 Promenade Circle ,1 Promenade Circle ,1 Promenade Circle ,3.15,3.15,3.17,4949 Bathurst Street ,4548 Dufferin Street ,4548 Dufferin Street unit a ,0.79,1.78,1.79,-79.449668,43.778904,209,40,https://www.zolo.ca/toronto-real-estate/19-coneflower-crescent/124
"562,500", 10 Bloorview Place,1,1,600-699,"Mar 12, 2021",2021-03-11 00:00:00.0,2021-03-12 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Don Valley Village,571999.00,1,1,1,4,1.0,Toronto C15,Tone Tai Supermarket,Nutrition House Fairview Mall,M&M Meat Shops,The Beer Store,LCBO Toronto-North York,Beer Store,Tim Hortons,BowThai restaurant,"Hearty Catering Inc,",Tim Hortons,Delimark Cafe,McDonald's,BMO Bank Of Montreal,Bank of Montreal,TD Canada Trust,Esso,Canadian Tire Gas+ - TOR - Sheppard/Leslie,Petro Canada,Clarinda Park,Bellbury Park,East Don Parkland,Toronto Public Library - Fairview Library,Toronto Public Library - Fairview Library Branch,Fairview Library,Seniors' Health Centre,North York General Hospital,Nymark Medical Centre,Main Drug Mart,IDA Main Drug Mart Compounding Pharmacy,Leslie Medical Pharmacy,Peanut Plaza,Fairview,Fairview Mall,CF Fairview Mall,Cineplex Cinemas,Cineplex Cinemas Fairview Mall,Seneca Pub,St Louis Bar And Grill,The Keg Steakhouse & Bar - Leslie,3030 Don Mills E ,SheppardSheppard Avenue East ,734 Sheppard Avenue East ,1.51,1.25,1.43,3078 Don Mills Rd ,2901 Bayview Ave ,2934 Finch Avenue East ,1.48,2.08,3.28,4001 Leslie Street ,4755 Leslie Street ,1255 Sheppard Avenue East ,0.54,0.67,0.61,4751 Leslie Street ,180 Duncan Mill Road ,1800 Sheppard Avenue East ,0.68,1.32,1.36,4797 Leslie Street ,57 Provost Drive ,50 Provost Drive ,0.76,1.04,1.03,4751 Leslie Street ,1015 Sheppard Avenue East  ,3075 Don Mills Road ,0.71,1.18,1.61,1240 Sheppard avenue ,65 Van Horne Avenue ,1240 Shppard Av E ,0.78,1.25,2.22,35 Fairview Mall Drive ,35 Fairview Mall Drive ,35 Fairview Mall Dr ,1.17,1.18,1.21,1351 Sheppard Avenue East ,4001 Leslie street ,4839 Leslie Street ,0.1,0.55,0.73,1333 Sheppard Avenue East ,1333 Sheppard Avenue East ,4800 Leslie ,0.3,0.3,0.84,3030 Don Mills Road ,1800 Shppard Av E ,1800 Sheppard Avenue East ,1.45,1.2,1.2,1800 Sheppard Avenue East ,1800 Sheppard Avenue East Unit Y ,1800 Sheppard Avenue East Y ,1.25,1.34,1.34,3030 Don Mills Road ,1800 Sheppard Avenue East ,1977 Leslie Street ,1.48,1.2,1.64,-79.359505,43.773987,209,42,https://www.zolo.ca/toronto-real-estate/10-bloorview-place/505
"525,000", 15 James Finlay Way,1+1,2,600-699,"Mar 12, 2021",2021-03-11 00:00:00.0,2021-03-12 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Downsview-Roding-CFB,509000.00,1,2,1,5,1.0,Toronto W05,Metro (Metro),Metro,Btrust Supermarket,Vin Bon Wine Emporium,LCBO,Wine Rack,Swiss Chalet,Burger King,Peter Gs Bar And Grill,Second Cup Coffee Co.,Rainforest Café,Rainforest Cafe,TD Canada Trust Branch and ATM,CIBC Branch with ATM,CIBC,Canadian Tire Gas+,Pioneer,SHELL - Keele Street 3330,Roding Park,Downsview Park,Maple Leaf Park,Toronto Public Library - Downsview Library,Toronto Public Library - Downsview Branch,Downsview Library,life labs,CML HealthCare Laboratory Services,North York Medical Building,Shoppers Drug Mart,North York Medical Building,Rexall Pharma Plus,Yorkdale Shopping Centre,Yorkdale Shopping Centre Management Office,Yorkdale,SilverCity Yorkdale,SilverCity Yorkdale Cinemas,Cineplex,Peter Gs Bar And Grill,Playtime Bowl & Entertainment,Playtime Bowl,1090 Wilson Ave ,1090 Wilson Avenue ,1105 Wilson Ave ,0.17,0.27,0.28,950 Wilson Avenue ,1618 Wilson Ave ,700 Lawrence Avenue West ,0.8,2.56,2.78,1077 Wilson Avenue ,1077 Wilson Avenue ,1060 Wilson Ave ,0.13,0.15,0.25,693 Wilson Avenue ,3401 Dufferin Street ,3401 Dufferin Street ,2.04,2.27,2.27,1050 Wilson Avenue ,1098 Wilson Avenue ,1098 Wilson Av ,0.26,0.26,0.26,2699 Keele Street ,2881 Keele Street ,3330 Keele St ,0.19,0.87,2.17,600 Roding Street ,35 Carl Hall Rd ,320 Culford Road ,1.12,1.72,1.59,2793 Keele Street ,2793 Keele Street ,2793 Keele St ,0.36,0.36,0.37,1017 Wilson Avenue   ,1017 Wilson Avenue  ,1017 Wilson Avenue ,km,0.22,0.21,1084 Wilson Ave ,1017 Wilson Avenue Front Desk   ,1115 Wilson Ave ,0.17,0.21,0.29,3401 Dufferin St ,1 Yorkdale Road  ,3401 Dufferin Street ,2.1,2.11,2.19,3401 Dufferin ,3401 Dufferin St ,3401 Dufferin Street ,1.93,2.26,2.3,1060 Wilson Ave ,33 Samor Rd ,33 Samor Road ,0.25,1.94,1.94,-79.4163,43.70011,209,44,https://www.zolo.ca/toronto-real-estate/15-james-finlay-way/807
"501,000", 36 Lee Centre Drive,1+1,1,600-699,"Mar 12, 2021",2021-03-11 00:00:00.0,2021-03-12 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Woburn,429000.00,1,1,1,6,1.0,Toronto E09,FreshCo,Food Basics,Real Canadian Superstore,The Beer Store,LCBO Toronto-Scarborough,LCBO,Mr Sub,Montana's,Montana's BBQ & Bar,Starbucks,Tim Hortons,Coffee Culture Café & Eatery,RBC Royal Bank of Canada,PROGRESS & GRANGEWAY,RBC Royal Bank,Esso,Petro-Canada,Canadian Tire Gas+,Metro Golf Dome,Albert Campbell Square,Thomson Memorial Park,Toronto Public Library - Burrows Hall Library,Burrows Hall Library,Centennial College Library,Scarborough Women's Centre,Scarborough Health Network Foundation (SHN Foundation),SRH Foundation,Ellesmere Healthcare Centre,Shoppers Drug Mart,Rexall Pharma Plus,Scarborough Town Centre & Food Court,Scarborough Town Centre,Babies R Us CEDARBRAE MALL,Coliseum Scarborough Cinemas,Cineplex,Cineplex Cinemas Scarborough,Jack Astor's,Jack Astor's Bar & Grill,Milestones Grill & Bar,1255 McCowan Road ,5085 Shppard Av E ,1755 Brimley Road ,0.88,1.37,1.3,1001 Sandhurst Circle ,21 William Kitchen Rd ,1571 Sandhurst Cir ,3.35,2.69,3.48,45 Milner Avenue ,41 Milner Avenue ,41 Milner Ave ,0.47,0.53,0.53,41 Milner Avenue  ,4820 Sheppard Avenue East ,2060 Ellesmere Rd ,0.5,1.14,1.26,111 Grangeway Avenue ,111 Grangeway Avenue ,111 Grangeway Avenue ,0.59,0.6,0.61,1615 Ellesmere Rd ,1525 Markham Road ,4650 Sheppard Avenue East ,1.12,1.27,1.29,125 Milner Avenue ,150 Borough Dr ,1005 Brimley Road ,0.38,1.23,2.55,1081 Progress Avenue ,1081 Progress Avenue ,941 Progress Ave ,1.76,1.76,1.65,2100 Ellesmere Rd  ,108-3030 Lawrence Avenue East ,3030 Lawrence Avenue East  ,1.4,2.78,2.78,2060 Ellesmere Road Unit  ,1780 Markham Road ,1127 Markham Road ,1.21,1.57,1.52,300 Borough Drive ,300 Borough Drive ,3495 Lawrnc Av E ,1.03,1.14,3.09,300 Borough Dr ,300 Borough Drive ,300 Borough Drive ,0.89,0.92,0.92,580 Progress Avenue ,580 Progress Avenue ,300 Borough Drive  ,0.68,0.7,0.71,-79.247376,43.781625,209,46,https://www.zolo.ca/toronto-real-estate/36-lee-centre-drive/1008
"499,000", 30 Meadowglen Place,1+1,1,500-599,"Mar 12, 2021",2021-03-11 00:00:00.0,2021-03-12 00:00:00.0,Comm Element Condo,Multi-Level,Toronto,Toronto,Woburn,451000.00,1,1,1,4,1.0,Toronto E09,Mirch Masala Groceries Inc,Yousaf Halal Meat Supermarket,Bombay Bazaar,Beer Store,Beer Store The,The Beer Store,Real McCoy Burgers & Pizza,The Real McCoy Burgers & Pizza,The Real McCoy,Coffee Culture Café & Eatery,Fabian's Cafe,Country Style,Bank of Nova Scotia,Royal Bank - Markham & Painted Post,TD Canada Trust,Shell,Shell Clean Plus,Petro-Canada,Metro Golf Dome,Botany Hill Park,Seven Oaks Park,Centennial College Library,Toronto Public Library - Cedarbrae Branch,Toronto Public Library - Cedarbrae Library,Scarborough Women's Centre,CML HealthCare Laboratory Services,One Stop Medical Centre,Rexall Pharma Plus,Rexall Pharmacy,Ellesmere Healthcare Centre,Babies R Us CEDARBRAE MALL,Scarborough Town Centre & Food Court,Scarborough Town Centre,Coliseum Scarborough Cinemas,Cineplex Cinemas Scarborough,Cineplex Odeon Morningside Cinemas,The Keg,The Keg Steakhouse & Bar - Estate Drive,Prak's Restaurant and Bar,860 Markham ,685 Markham Rd ,3601 Lawrnc E ,0.76,1.53,1.72,2866 Ellesmere Road ,CentenaryCentenary Plaza ,1001 Sandhurst Circle ,2.3,2.36,4.68,1033 Markham Road ,1033 Markham Road  ,1033 Markham Road ,0.07,0.07,0.07,2060 Ellesmere Rd ,876 Markham Road ,665 Markham Road ,0.32,0.76,1.59,1200 Markham Road ,789 Markham Rd ,1900 Ellesmere Road ,0.22,0.91,0.87,1201 Markham Road ,640 Markham Rd ,1525 Markham Road ,0.26,1.71,1.75,125 Milner Avenue ,277 Orton Park Rd ,372 Military Trail ,1.69,1.58,2.24,941 Progress Ave ,545 Markham Road ,545 Markham Road ,1.19,1.98,1.98,2100 Ellesmere Rd  ,700 Markham Road ,LawrenceLawrence Avenue East ,0.22,1.48,1.71,1127 Markham Road ,1127 Markham Road ,2060 Ellesmere Road Unit  ,0.08,0.09,0.37,3495 Lawrnc Av E ,300 Borough Drive ,300 Borough Drive ,1.89,2.2,2.35,300 Borough Dr ,300 Borough Drive ,785 Milner Avenue ,2.01,2.02,3.29,60 Estate Drive ,60 Estate Drive ,752 Markham Rd ,0.94,0.95,1.09,-79.229805,43.774605,209,48,https://www.zolo.ca/toronto-real-estate/30-meadowglen-place/610
